Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
681.787,0.003,681.787,,7.49e+03,,16 229.87,-,30 893.16,6d,2D,3/2,12p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
684.222,0.003,684.222,,7.46e+04,,16 229.87,-,30 840.98,6d,2D,3/2,12p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
691.204,0.003,691.204,,6.50e+04,,16 429.64,-,30 893.16,6d,2D,5/2,12p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
694.8987,0.0003,694.8987,,1.90e+06,,13 923.998,-,28 310.617,7p,2P°,3/2,10s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
713.491,0.003,713.491,,1.16e+04,,16 229.87,-,30 241.60,6d,2D,3/2,11p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
717.616,0.003,717.615,,1.15e+05,,16 229.87,-,30 161.07,6d,2D,3/2,11p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
717.98660,0.00010,717.98664,,4.78e+07,,0.000,-,13 923.998,7s,2S,1/2,7p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
723.811,0.003,723.811,,1.01e+05,,16 429.64,-,30 241.60,6d,2D,5/2,11p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
728.5892,0.0004,728.5892,,6.93e+06,,13 923.998,-,27 645.373,7p,2P°,3/2,8d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
730.9713,0.0004,730.9713,,1.13e+06,,13 923.998,-,27 600.657,7p,2P°,3/2,8d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
744.198,0.004,744.1976,,2.75e+06,,12 237.409,-,25 671.00,7p,2P°,1/2,9s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
770.904,0.004,770.904,,1.99e+04,,16 229.87,-,29 198.09,6d,2D,3/2,10p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
778.947,0.004,778.947,,1.95e+05,,16 229.87,-,29 064.18,6d,2D,3/2,10p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
782.965,0.004,782.965,,1.72e+05,,16 429.64,-,29 198.09,6d,2D,5/2,10p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
790.171,0.004,790.171,,6.55e+03,,19 739.98,-,32 391.99,8s,2S,1/2,20p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
790.536,0.004,790.536,,6.56e+03,,19 739.98,-,32 386.15,8s,2S,1/2,20p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
794.265,0.004,794.265,,7.98e+03,,19 739.98,-,32 326.77,8s,2S,1/2,19p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
794.716,0.004,794.716,,7.99e+03,,19 739.98,-,32 319.63,8s,2S,1/2,19p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
799.362,0.004,799.362,,9.92e+03,,19 739.98,-,32 246.51,8s,2S,1/2,18p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
799.929,0.004,799.929,,9.93e+03,,19 739.98,-,32 237.65,8s,2S,1/2,18p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
805.826,0.004,805.826,,1.29e+04,,19 739.98,-,32 146.20,8s,2S,1/2,17p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
806.552,0.004,806.552,,1.29e+04,,19 739.98,-,32 135.03,8s,2S,1/2,17p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
814.203,0.004,814.203,,1.70e+04,,19 739.98,-,32 018.55,8s,2S,1/2,16p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
815.156,0.004,815.156,,1.66e+04,,19 739.98,-,32 004.20,8s,2S,1/2,16p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
816.9418,0.0002,816.94184,,3.22e+07,,0.000,-,12 237.409,7s,2S,1/2,7p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
825.355,0.004,825.355,,2.28e+04,,19 739.98,-,31 852.65,8s,2S,1/2,15p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
826.644,0.004,826.644,,2.28e+04,,19 739.98,-,31 833.76,8s,2S,1/2,15p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
832.645,0.002,832.6449,,1.66e+07,,12 237.409,-,24 244.03,7p,2P°,1/2,7d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
840.705,0.004,840.705,,3.18e+04,,19 739.98,-,31 631.49,8s,2S,1/2,14p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
842.515,0.004,842.515,,3.17e+04,,19 739.98,-,31 605.95,8s,2S,1/2,14p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
851.047,0.004,851.047,,3.66e+06,,13 923.998,-,25 671.00,7p,2P°,3/2,9s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
862.763,0.004,862.763,,4.68e+04,,19 739.98,-,31 327.46,8s,2S,1/2,13p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
865.433,0.004,865.433,,4.66e+04,,19 739.98,-,31 291.72,8s,2S,1/2,13p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
896.359,0.005,896.359,,7.53e+04,,19 739.98,-,30 893.16,8s,2S,1/2,12p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
897.715,0.005,897.715,,3.85e+04,,16 229.87,-,27 366.20,6d,2D,3/2,9p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
900.572,0.005,900.573,,7.31e+04,,19 739.98,-,30 840.98,8s,2S,1/2,12p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
914.113,0.005,914.113,,3.31e+05,,16 429.64,-,27 366.20,6d,2D,5/2,9p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
918.162,0.005,918.162,,3.61e+05,,16 229.87,-,27 118.21,6d,2D,3/2,9p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
951.973,0.005,951.973,,1.30e+05,,19 739.98,-,30 241.60,8s,2S,1/2,11p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
959.329,0.005,959.329,,1.29e+05,,19 739.98,-,30 161.07,8s,2S,1/2,11p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
960.450,0.003,960.450,,1.29e+07,,13 923.998,-,24 332.93,7p,2P°,3/2,7d,2D,5/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
968.724,0.003,968.724,,2.09e+06,,13 923.998,-,24 244.03,7p,2P°,3/2,7d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=6898&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=6898&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12264&amp;comment_code=&amp;element=Fr&amp;spectr_charge=1&amp;ref=12264&amp;type=
