obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
280.9761,280.9756,3,2.50e+08,B,47957.045,83536.84,3s.3d,3D,3,3p.3d,3D*,3,,"T6298c72,LS",L6095,
,281.1050,,4.38e+07,C,47957.045,83520.47,3s.3d,3D,3,3p.3d,3D*,2,,"T6298c72,LS",,
,281.1051,,4.22e+07,C,47957.058,83520.47,3s.3d,3D,1,3p.3d,3D*,2,,"T6298c72,LS",,
281.1112,281.1048,2bl,1.96e+08,B,47957.027,83520.47,3s.3d,3D,2,3p.3d,3D*,2,,"T6298c72,LS",L6095,
,281.1777,,7.03e+07,C,47957.027,83511.25,3s.3d,3D,2,3p.3d,3D*,1,,"T6298c72,LS",,
281.1781,281.1780,1,2.11e+08,C+,47957.058,83511.25,3s.3d,3D,1,3p.3d,3D*,1,,"T6298c72,LS",L6095,
284.6716,284.67167,12,1.31e+07,D+,21850.405,56968.271,3s.3p,3P*,0,3s.5d,3D,1,,"T6298c72,LS",L6095,
284.8342,284.83456,14,1.77e+07,C,21870.464,56968.248,3s.3p,3P*,1,3s.5d,3D,2,,"T6298c72,LS",L6095,
,284.8344,,9.86e+06,D+,21870.464,56968.271,3s.3p,3P*,1,3s.5d,3D,1,,"T6298c72,LS",,
,285.1652,,6.53e+05,E,21911.178,56968.271,3s.3p,3P*,2,3s.5d,3D,1,,"T6298c72,LS",,
,285.1654,,5.88e+06,D+,21911.178,56968.248,3s.3p,3P*,2,3s.5d,3D,2,,"T6298c72,LS",,
285.1660,285.16562,16,2.35e+07,C,21911.178,56968.218,3s.3p,3P*,2,3s.5d,3D,3,,"T6298c72,LS",L6095,
285.2127,285.21261,50g,4.91e+08,A,0.000,35051.264,2p6.3s2,1S,0,3s.3p,1P*,1,,u19,L6095,
290.2923,290.29255,2,,,21870.464,56308.381,3s.3p,3P*,1,3s.5d,1D,2,,,L6095,
290.6360,290.63617,4,,,21911.178,56308.381,3s.3p,3P*,2,3s.5d,1D,2,,,L6095,
291.5453,291.5453,3d,4.09e+08,B,46403.065,80693.01,3s.3d,1D,2,3p.3d,1D*,2,,T6298c72,L6095,
293.6739,293.6741,10,1.37e+06,D,21850.405,55891.80,3s.3p,3P*,0,3s.6s,3S,1,,"T6298c72,LS",L6095,
293.8473,293.8473,12,4.12e+06,D,21870.464,55891.80,3s.3p,3P*,1,3s.6s,3S,1,,"T6298c72,LS",L6095,
294.1995,294.1994,13,6.83e+06,D+,21911.178,55891.80,3s.3p,3P*,2,3s.6s,3S,1,,"T6298c72,LS",L6095,
309.1065,309.10640,20,3.09e+07,B,21850.405,54192.335,3s.3p,3P*,0,3s.4d,3D,1,,T4391,L6095,
