obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
828.707,0.005,828.700,0.004,"3w,bl",8.04e+05,B,60187.4434,72251.22,1s2.2s.3p,1P*,1,1s2.2s.6d,1D,2,,u28,L4743,
854.7366,0.0020,854.737,0.003,9*,1.74e+06,B,58907.472,70603.76,1s2.2s.3p,3P*,0,1s2.2s.5d,3D,1,,u28,L4743,
854.7366,0.0020,854.737,0.003,9*,1.31e+06,B,58907.472,70603.76,1s2.2s.3p,3P*,1,1s2.2s.5d,3D,1,,u28,,
854.7366,0.0020,854.7373,0.0022,9*,2.35e+06,B,58907.472,70603.76,1s2.2s.3p,3P*,1,1s2.2s.5d,3D,2,,u28,,
854.7659,0.0020,854.764,0.003,11*,8.73e+04,B,58907.839,70603.76,1s2.2s.3p,3P*,2,1s2.2s.5d,3D,1,,u28,L4743,
854.7659,0.0020,854.7641,0.0022,11*,7.84e+05,B,58907.839,70603.76,1s2.2s.3p,3P*,2,1s2.2s.5d,3D,2,,u28,L4743,
854.7659,0.0020,854.7663,0.0022,11*,3.14e+06,B,58907.839,70603.73,1s2.2s.3p,3P*,2,1s2.2s.5d,3D,3,,u28,L4743,
880.1370,0.0020,880.1367,0.0023,17,9.59e+06,B,56882.5474,68241.30,1s2.2p2,1D,2,1s2.2s.4f,1F*,3,,u28,L4743,
,,880.157,0.005,,5.1e+03,D,56882.5474,68241.044,1s2.2p2,1D,2,1s2.2s.4f,3F*,3,,u28,,
,,888.17,0.04,,4.57e+03,B,62053.7385,[73309.7],1s2.2s.3d,3D,1,1s2.2s.8p,1P*,1,,u28,,
,,888.17,0.04,,1.37e+04,B,62053.742,[73309.7],1s2.2s.3d,3D,2,1s2.2s.8p,1P*,1,,u28,,
888.218,0.002,888.216,0.006,2*,1.59e+05,B,62053.7385,73309.17,1s2.2s.3d,3D,1,1s2.2s.8p,3P*,0,,u28,L483,
888.218,0.002,888.217,0.003,2*,1.06e+05,B,62053.742,73309.16,1s2.2s.3d,3D,2,1s2.2s.8p,3P*,1,,u28,L483,
888.218,0.002,888.217,0.003,2*,3.52e+04,B,62053.7385,73309.16,1s2.2s.3d,3D,1,1s2.2s.8p,3P*,1,,u28,L483,
888.218,0.002,888.2179,0.0024,2*,1.33e+05,B,62053.742,73309.15,1s2.2s.3d,3D,3,1s2.2s.8p,3P*,2,,u28,L483,
