obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
365.7495,365.7491+,60,4.3e+05,C+,2010.10,29343.46,5d3.6s2,a 4F,5/2,,293*,5/2,,T4976,"L7593,L3475",
368.6185,368.6186+,100,,,9705.38,36825.97,5d3.6s2,a 2G,7/2,5d3.6s.(3G).6p,y 4G*?,5/2,,,"L7593,L3475",
368.9729,368.9736+,100,,,9705.38,36799.88,5d3.6s2,a 2G,7/2,5d3.6s.(3H).6p,z 4G*?,7/2,,,"L7593,L3475",
373.1017,373.1012+,130,5.3e+05,C+,0.00,26794.76,5d3.6s2,a 4F,3/2,5d3.6s.(5F).6p,z 6D*,5/2,,T4976,"L7593,L3475",
373.6759,373.6756+,140,,,11792.13,38545.70,5d3.6s2,a 2P,1/2,,385*,3/2,,,"L7593,L3475",
374.6365,,130,,,,,,,,,,,,,"L7593,L3475",
375.4517,375.4515+,110,6.5e+05,B,3963.92,30590.95,5d3.6s2,a 4F,7/2,,305*,7/2,,T4976,"L7593,L3475",
377.7102,377.7094+,110,,,17993.74,44461.60,,179*,5/2,5d3.6s.(5F).7s,e 4F,5/2,,,"L7593,L3475",
378.4254,378.4246+,190,4.3e+06,B,6068.91,32486.75,5d3.6s2,a 4P,3/2,5d3.6s.(5P).6p,y 6D*,5/2,,T4976,"L7593,L3475c17",
379.2015,379.2019+,110,9.0e+05,C+,0.00,26363.69,5d3.6s2,a 4F,3/2,5d3.6s.(5F).6p,y 4D*,3/2,,T4976,"L7593,L3475",
382.6849,382.6844+,85,5.2e+05,C+,2010.10,28133.88,5d3.6s2,a 4F,5/2,5d3.6s.(5F).6p,y 4D*,5/2,,T4976,"L7593,L3475",
383.6603,383.6611+,65,4.0e+05,C+,3963.92,30021.20,5d3.6s2,a 4F,7/2,,300*,9/2,,T4976,"L7593,L3475",
384.8046,384.8037+,100,1.30e+06,B+,5621.04,31600.95,5d3.6s2,a 4F,9/2,,316*,7/2,,T4976,"L7593,L3475",
385.8608,385.8572+,50h,2.5e+05,C+,5621.04,31530.02,5d3.6s2,a 4F,9/2,,315*,9/2,,T4976,L7593,
388.5202,388.5200+,100,,,11792.13,37523.54,5d3.6s2,a 2P,1/2,,375*,3/2,,,"L7593,L3475",
391.8512,391.8518+,210,2.45e+06,B+,0.00,25512.63,5d3.6s2,a 4F,3/2,5d3.6s.(5F).6p,y 4D*,1/2,,T4976,"L7593,L3475",
392.2779,392.2769+,140,3.98e+06,B+,6068.91,31553.89,5d3.6s2,a 4P,3/2,,315*,3/2,,T4976,"L7593,L3475",
392.2915,392.2925+,140,,,9758.97,35242.94,5d4.(5D).6s,a 6D,1/2,,352*,3/2,,,"L7593,L3475",
397.0098,397.0106+,210,,,0.00,25181.12,5d3.6s2,a 4F,3/2,5d3.6s.(5F).6p,z 6F*,5/2,,,"L7593,L3475",
399.6171,399.6165+,210,3.35e+06,B+,6049.42,31066.34,5d3.6s2,a 4P,1/2,5d3.6s.(5P).6p,z 6P*,3/2,,T4976,"L7593,L3475",
399.9283,399.9280+,100,1.83e+06,B+,6068.91,31066.34,5d3.6s2,a 4P,3/2,5d3.6s.(5P).6p,z 6P*,3/2,,T4976,"L7593,L3475",
