obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
700.7124,0.0014,700.715+,14271.19,10000,4.3e+06,C,64907.19,79178.33,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<1>).5p,2[1]*,3/2,4,4,,"T6936n,T9382",L351,
726.2449,0.0015,726.245+,13769.46,2000,5.6e+05,C,64907.19,78676.65,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<1>).5p,2[2]*,3/2,4,4,,"T6936n,T9382",L351,
735.0536,0.0015,735.056+,13604.45,10000,4.7e+06,C,64907.19,78511.60,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<1>).5p,2[2]*,5/2,4,6,,"T6936n,T9382",L351,
751.5028,0.0015,751.505+,13306.67,40000,,,63436.45,76743.08,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).5p,2[1]*,3/2,6,4,,,L351,
759.3701,0.0016,759.370+,13168.81,1600,,,64907.19,78076.00,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<1>).5p,2[0]*,1/2,4,2,,,L351,
759.7162,0.0016,759.716+,13162.81,1800,,,79044.50,92207.32,4s2.4p4.(3P<2>).4d,2[3],7/2,4s2.4p4.(3P<2>).6f,2[4]*,9/2,8,10,,,L351,
761.8508,0.0016,761.850+,13125.93,2000,,,75009.13,88135.07,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).7s,2[2],5/2,4,6,,,L351,
780.5164,0.0017,780.517+,12812.03,30000,,,66883.87,79695.89,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<0>).5p,2[1]*,3/2,2,4,,,L351,
782.9383,0.0017,782.936+,12772.40,1200,,,78511.60,91284.03,4s2.4p4.(3P<1>).5p,2[2]*,5/2,4s2.4p4.(3P<1>).7s,2[1],3/2,6,4,,,L351,
788.3681,0.0021,788.367+,12684.43,5000hfs,,,67183.58,79868.03,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<0>).5p,2[1]*,1/2,4,2,,,L351,
792.7988,0.0017,792.797+,12613.54,2500,,,75521.50,88135.07,4s2.4p4.(3P<2>).5p,2[3]*,7/2,4s2.4p4.(3P<2>).7s,2[2],5/2,8,6,,,L351,
794.0863,0.0021,794.086+,12593.09,30000c,2.2e+07,C+,75890.33,88483.42,4s2.4p4.(1D<2>).5s,2[2],5/2,4s2.4p4.(1D<2>).5p,2[2]*,5/2,6,6,,"T6936n,T9382",L351,
795.0124,0.0017,795.011+,12578.42,3000,,,75697.05,88275.49,4s2.4p4.(3P<2>).5p,2[3]*,5/2,4s2.4p4.(3P<2>).7s,2[2],3/2,6,4,,,L351,
795.2369,0.0017,795.236+,12574.87,3000,,,75908.53,88483.42,4s2.4p4.(1D<2>).5s,2[2],3/2,4s2.4p4.(1D<2>).5p,2[2]*,5/2,4,6,,,L351,
798.0705,0.0021,798.069+,12530.22,18000hfs,1.9e+07,C+,75908.53,88438.78,4s2.4p4.(1D<2>).5s,2[2],3/2,4s2.4p4.(1D<2>).5p,2[2]*,3/2,4,4,,"T6936n,T9382",L351,
799.2136,0.0017,799.213+,12512.30,30000,3.1e+06,C,67183.58,79695.89,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<0>).5p,2[1]*,3/2,4,4,,"T6936n,T9382",L351,
802.8665,0.0022,802.862+,12455.37,4500hfs,,,75908.53,88363.97,4s2.4p4.(1D<2>).5s,2[2],3/2,4s2.4p4.(3P<2>).4f,2[2]*,3/2,4,4,,,L351,
813.3758,0.0018,813.374+,12294.44,30000,5.0e+06,C,66883.87,79178.33,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<1>).5p,2[1]*,3/2,2,4,,"T6936n,T9382",L351,
815.4890,0.0022,815.488+,12262.58,1000c,,,75009.13,87271.73,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).5d,2[1],1/2,4,2,,,L351,
815.5995,0.0018,815.597+,12260.92,10000,,,74672.32,86933.28,4s2.4p4.(3P<2>).5p,2[2]*,5/2,4s2.4p4.(3P<2>).5d,2[3],5/2,6,6,,,L351,
815.6241,0.0018,815.621+,12260.55,25000,,,63436.45,75697.05,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).5p,2[3]*,5/2,6,6,,,L351,
824.9124,0.0018,824.911+,12122.50,5000,,,75009.13,87131.65,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).5d,2[1],3/2,4,4,,,L351,
826.7230,0.0018,826.722+,12095.95,15000,,,74672.32,86768.28,4s2.4p4.(3P<2>).5p,2[2]*,5/2,4s2.4p4.(3P<2>).5d,2[3],7/2,6,8,,,L351,
827.4714,0.0022,827.469+,12085.01,75000c,3.5e+07,C+,63436.45,75521.50,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).5p,2[3]*,7/2,6,8,,"T6936n,T9382",L351,
833.6988,0.0019,833.698+,11994.74,20000,1.49e+07,C+,67183.58,79178.33,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<1>).5p,2[1]*,3/2,4,4,,"T6936n,T9382",L351,
834.5991,0.0019,834.596+,11981.80,10000,3.2e+07,C+,66883.87,78865.72,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<1>).5p,2[1]*,1/2,2,2,,"T6936n,T9382",L351,
838.6342,0.0019,838.634+,11924.15,1200,,,75009.13,86933.28,4s2.4p4.(3P<2>).5p,2[2]*,3/2,4s2.4p4.(3P<2>).5d,2[3],5/2,4,6,,,L351,
844.8872,0.0019,844.888+,11835.90,40000,2.8e+07,D,64907.19,76743.08,4s2.4p4.(3P<2>).5s,2[2],3/2,4s2.4p4.(3P<2>).5p,2[1]*,3/2,4,4,,"T6936n,T9382",L351,
847.9779,0.0019,847.976+,11792.76,4000,2.3e+07,C+,66883.87,78676.65,4s2.4p4.(3P<1>).5s,2[1],1/2,4s2.4p4.(3P<1>).5p,2[2]*,3/2,2,4,,"T6936n,T9382",L351,
851.5719,0.0019,851.573+,11742.99,1500,,,75697.05,87440.02,4s2.4p4.(3P<2>).5p,2[3]*,5/2,4s2.4p4.(3P<2>).5d,2[4],7/2,6,8,,,L351,
856.0083,0.0020,856.008+,11682.13,1000,,,67183.58,78865.72,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<1>).5p,2[1]*,1/2,4,2,,,L351,
856.8635,0.0020,856.864+,11670.47,1000,1.7e+06,D,75521.50,87191.97,4s2.4p4.(3P<2>).5p,2[3]*,7/2,4s2.4p4.(3P<2>).5d,2[4],9/2,8,10,,"T6936n,T9382",L351,
864.1033,0.0020,864.104+,11572.69,20000,2.2e+07,C+,63436.45,75009.13,4s2.4p4.(3P<2>).5s,2[2],5/2,4s2.4p4.(3P<2>).5p,2[2]*,3/2,6,4,,"T6936n,T9382",L351,
870.0918,0.0020,870.090+,11493.04,4000,2.4e+07,C+,67183.58,78676.65,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<1>).5p,2[2]*,3/2,4,4,,"T6936n,T9382",L351,
879.5887,0.0024,879.588+,11368.95,10000c,,,75890.33,87259.29,4s2.4p4.(1D<2>).5s,2[2],5/2,4s2.4p4.(1D<2>).5p,2[1]*,3/2,6,4,,,L351,
880.9999,0.0024,880.998+,11350.74,1400hfs,,,75908.53,87259.29,4s2.4p4.(1D<2>).5s,2[2],3/2,4s2.4p4.(1D<2>).5p,2[1]*,3/2,4,4,,,L351,
882.2380,0.0021,882.236+,11334.81,15000,3.0e+07,C+,75890.33,87225.16,4s2.4p4.(1D<2>).5s,2[2],5/2,4s2.4p4.(1D<2>).5p,2[3]*,7/2,6,8,,"T6936n,T9382",L351,
882.7644,0.0021,882.767+,11328.05,25000,3.0e+07,C+,67183.58,78511.60,4s2.4p4.(3P<1>).5s,2[1],3/2,4s2.4p4.(3P<1>).5p,2[2]*,5/2,4,6,,"T6936n,T9382",L351,
889.1418,0.0021,889.143+,11246.80,4000,,,75521.50,86768.28,4s2.4p4.(3P<2>).5p,2[3]*,7/2,4s2.4p4.(3P<2>).5d,2[3],7/2,8,8,,,L351,
