obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""379.7301""","=""0.0010""","=""379.73011+""","=""250""","=""5.50e+06""",A,"=""10965.947""","=""37292.965""","=""4d4.5s2""","=""a 5D""","=""0""","=""4d4.5s.(6D).5p""","=""z 5D*""","=""1""",,"=""T5293""","=""L10250,L3475""",
"=""379.8252""","=""0.0010""","=""379.82531+""","=""29000""","=""6.9e+07""",B+,"=""0.000""","=""26320.420""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d5.(6S).5p""","=""z 7P*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""380.1839""","=""0.0010""","=""380.18403+""","=""290*""","=""3.2e+07""",B,"=""20157.802""","=""46453.388""","=""4d5.(4D).5s""","=""b 5D""","=""4""","=""4d5.(4F).5p""","=""v 5F*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""380.184""","=""0.010""","=""380.18326+""","=""290*""","=""""",,"=""16641.081""","=""42936.720""","=""4d5.(4G).5s""","=""a 5G""","=""2""","=""""","=""3.3*""","=""1""",,"=""""","=""L3475""",
"=""380.1874""","=""0.0010""","=""380.18741+""","=""290*""","=""1.72e+06""",B,"=""18229.152""","=""44524.504""","=""4d5.(4P).5s""","=""a 5P""","=""3""","=""4d5.(4D).5p""","=""y 3D*""","=""2""",,"=""T5293""","=""L10250,L3475""",
"=""380.5989""","=""0.0010""","=""380.59892+""","=""110""","=""2.44e+07""",B,"=""23534.407""","=""49801.329""","=""4d4.5s2""","=""a 3F""","=""2""","=""4d5.(4F).5p""","=""u 3F*""","=""2""",,"=""T5293""","=""L10250,L3475""",
"=""381.9778""","=""0.0010""","=""381.97787+""","=""47""","=""1.47e+07""",B,"=""27765.594""","=""53937.694""","=""4d5.(2F).5s""","=""b 3F""","=""4""","=""""","=""84*""","=""5""",,"=""T5293""","=""L10250""",
"=""382.4776""","=""0.0010""","=""382.47766+""","=""39""","=""1.40e+07""",B,"=""26335.816""","=""52473.717""","=""4d5.(4F).5s""","=""a 5F""","=""2""","=""""","=""59.1*""","=""3""",,"=""T5293""","=""L10250""",
"=""382.6693""","=""0.0010""","=""382.66929+""","=""520""","=""7.98e+06""",A,"=""11454.362""","=""37579.174""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d4.5s.(6D).5p""","=""z 5D*""","=""2""",,"=""T5293""","=""L10250,L3475""",
"=""382.7154""","=""0.0010""","=""382.71537+""","=""95""","=""1.94e+07""",B,"=""23668.079""","=""49789.746""","=""4d4.5s2""","=""a 3F""","=""3""","=""4d5.(4F).5p""","=""u 3F*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""382.8876""","=""0.0010""","=""382.88756+""","=""940""","=""1.35e+07""",A,"=""11858.498""","=""37968.418""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(6D).5p""","=""z 5D*""","=""3""",,"=""T5293""","=""L10250,L3475""",
"=""383.0814""","=""0.0010""","=""383.08144+""","=""75""","=""1.83e+07""",B,"=""25794.608""","=""51891.314""","=""4d6""","=""c 5D""","=""2""","=""""","=""50*""","=""2""",,"=""T5293""","=""L10250,L3475""",
"=""383.1070""","=""0.0010""","=""383.10705+""","=""35""","=""1.20e+07""",B,"=""27383.838""","=""53478.799""","=""4d4.5s2""","=""b 3G""","=""3""","=""""","=""75*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""383.2107""","=""0.0010""","=""383.21069+""","=""150*""","=""3.05e+07""",B,"=""25997.337""","=""52085.241""","=""4d5.(4F).5s""","=""a 5F""","=""4""","=""""","=""51*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""383.211""","=""0.010""","=""383.21140+""","=""150*""","=""""",,"=""20950.853""","=""47038.709""","=""4d5.(4D).5s""","=""a 3D""","=""2""","=""""","=""10*""","=""1""",,"=""""","=""L3475""",
"=""383.3746""","=""0.0010""","=""383.37461+""","=""1700""","=""1.70e+07""",A,"=""12346.280""","=""38423.030""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d4.5s.(6D).5p""","=""z 5D*""","=""4""",,"=""T5293""","=""L10250,L3475""",
"=""383.4636""","=""0.0010""","=""383.46369+""","=""27""","=""1.20e+07""",B,"=""25820.622""","=""51891.314""","=""4d6""","=""c 5D""","=""1""","=""""","=""50*""","=""2""",,"=""T5293""","=""L10250""",
"=""384.6177""","=""0.0010""","=""384.61768+""","=""37""","=""1.26e+07""",B,"=""26189.445""","=""52181.918""","=""4d5.(4F).5s""","=""a 5F""","=""3""","=""""","=""54*""","=""3""",,"=""T5293""","=""L10250""",
"=""384.7245""","=""0.0010""","=""384.72446+""","=""380""","=""2.41e+07""",B+,"=""11142.784""","=""37128.043""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d4.5s.(6D).5p""","=""z 5D*""","=""0""",,"=""T5293""","=""L10250,L3475""",
"=""384.8298""","=""0.0010""","=""384.82984+""","=""190*""","=""1.26e+07""",B,"=""20157.802""","=""46135.945""","=""4d5.(4D).5s""","=""b 5D""","=""4""","=""""","=""5*""","=""4""",,"=""T5293""","=""L10250,L3475""",
