obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
535.680,,18667.9,25,,,,,,,L3475,
535.719,,18666.5,40,,,,,,,L3475,
536.068,,18654.3,29,,,,,,,L3475,
536.350,,18644.5,17,,,,,,,L3475,
537.676,,18598.5,40,,,,,,,L3475,
538.284,,18577.6,40,,,,,,,L3475,
538.980,,18553.6,17,,,,,,,L3475,
539.736,,18527.6,21,,,,,,,L3475,
539.783,,18526.0,29,,,,,,,L3475,
541.274,,18474.9,29,,,,,,,L3475,
541.781,,18457.7,21,,,,,,,L3475,
542.395,,18436.8,65,,,,,,,L3475,
543.277,,18406.8,21,,,,,,,L3475,
543.878,,18386.5,110,,,,,,,L3475,
544.982,,18349.2,19,,,,,,,L3475,
545.771,,18322.7,19,,,,,,,L3475,
545.956,,18316.5,40,,,,,,,L3475,
546.962,,18282.8,19w,,,,,,,L3475,
548.252,,18239.8,40,,,,,,,L3475,
548.461,,18232.8,13,,,,,,,L3475,
548.501,,18231.5,19,,,,,,,L3475,
549.259,,18206.4,13,,,,,,,L3475,
550.106,,18178.3,17,,,,,,,L3475,
550.611,,18161.6,40,,,,,,,L3475,
551.065,,18146.7,17,,,,,,,L3475,
551.435,,18134.5,35c,,,,,,,L3475,
551.892,,18119.5,17,,,,,,,L3475,
552.510,,18099.2,50,,,,,,,L3475,
554.301,,18040.7,25,,,,,,,L3475,
555.289,,18008.6,85,,,,,,,L3475,
556.454,,17970.9,29,,,,,,,L3475,
557.299,,17943.7,17c,,,,,,,L3475,
557.771,,17928.5,35c,,,,,,,L3475,
557.984,,17921.7,35,,,,,,,L3475,
558.852,,17893.8,50,,,,,,,L3475,
559.250,,17881.1,17c,,,,,,,L3475,
559.644,,17868.5,13,,,,,,,L3475,
560.114,,17853.5,17c,,,,,,,L3475,
560.508,,17841.0,40,,,,,,,L3475,
560.549,,17839.7,13,,,,,,,L3475,
562.982,,17762.6,25,,,,,,,L3475,
563.073,,17759.7,65,,,,,,,L3475,
563.698,,17740.0,35c,,,,,,,L3475,
564.368,,17718.9,170,,,,,,,L3475,
564.687,,17708.9,35,,,,,,,L3475,
565.571,,17681.2,17,,,,,,,L3475,
566.628,,17648.3,130,,,,,,,L3475,
566.720,,17645.4,170,,,,,,,L3475,
566.843,,17641.6,17,,,,,,,L3475,
567.259,,17628.6,"65c,w",,,,,,,L3475,
567.348,,17625.9,85,,,,,,,L3475,
567.905,,17608.6,25,,,,,,,L3475,
569.467,,17560.3,25,,,,,,,L3475,
569.948,,17545.5,35bl,,,,,,,L3475,
569.961,,17545.1,,,,,,,,L3475,
570.774,,17520.1,40,,,,,,,L3475,
570.806,,17519.1,85,,,,,,,L3475,
571.091,,17510.3,29,,,,,,,L3475,
571.718,,17491.2,17,,,,,,,L3475,
571.794,,17488.8,65,,,,,,,L3475,
572.725,,17460.4,25,,,,,,,L3475,
573.078,,17449.6,130,,,,,,,L3475,
573.895,,17424.8,21,,,,,,,L3475,
573.979,,17422.2,13,,,,,,,L3475,
575.304,,17382.1,85,,,,,,,L3475,
576.194,,17355.3,110,,,,,,,L3475,
576.659,,17341.3,65,,,,,,,L3475,
577.268,,17323.0,29,,,,,,,L3475,
