"=""370.6674""","=""0.0005""","=""370.66692""","=""0.00015""","=""180""","=""""",,"=""14898.545""","=""41869.270""","=""5s.5p""","=""3P*""","=""2""","=""5s.7d""","=""3D""","=""2""",,"=""""","=""L4447""",
"=""370.9173""","=""0.0005""","=""370.9173""","=""0.0006""","=""150""","=""""",,"=""18319.261""","=""45271.78""","=""5s.4d""","=""3D""","=""3""","=""5s.13f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""371.1279""","=""0.0005""","=""371.1279""","=""0.0006""","=""140""","=""""",,"=""18218.784""","=""45156.01""","=""5s.4d""","=""3D""","=""2""","=""5s.12f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""372.3628""","=""0.0005""","=""372.3628""","=""0.0006""","=""100""","=""""",,"=""18159.040""","=""45006.93""","=""5s.4d""","=""3D""","=""1""","=""5s.11f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""372.5165""","=""0.0005""","=""372.5165""","=""0.0006""","=""190""","=""""",,"=""18319.261""","=""45156.08""","=""5s.4d""","=""3D""","=""3""","=""5s.12f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""373.1926""","=""0.0005""","=""373.1926""","=""0.0006""","=""180""","=""""",,"=""18218.784""","=""45006.98""","=""5s.4d""","=""3D""","=""2""","=""5s.11f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""374.5958""","=""0.0005""","=""374.5959""","=""0.0006""","=""200""","=""""",,"=""18319.261""","=""45007.11""","=""5s.4d""","=""3D""","=""3""","=""5s.11f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""375.1070""","=""0.0005""","=""375.1069""","=""0.0006""","=""140""","=""""",,"=""18159.040""","=""44810.53""","=""5s.4d""","=""3D""","=""1""","=""5s.10f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""375.9493""","=""0.0005""","=""375.9493""","=""0.0006""","=""190""","=""""",,"=""18218.784""","=""44810.56""","=""5s.4d""","=""3D""","=""2""","=""5s.10f""","=""3F*""","=""3""",,"=""""","=""L4447""",
"=""377.3730""","=""0.0005""","=""377.3729""","=""0.0006""","=""220""","=""""",,"=""18319.261""","=""44810.72""","=""5s.4d""","=""3D""","=""3""","=""5s.10f""","=""3F*""","=""4""",,"=""""","=""L4447""",
"=""378.0527""","=""0.0006""","=""378.0522""","=""0.0003""","=""70""","=""""",,"=""14317.507""","=""40761.372""","=""5s.5p""","=""3P*""","=""0""","=""5s.8s""","=""3S""","=""1""",,"=""""","=""L7362""",
"=""378.8918""","=""0.0005""","=""378.8923""","=""0.0004""","=""190""","=""""",,"=""18159.040""","=""44544.27""","=""5s.4d""","=""3D""","=""1""","=""5s.9f""","=""3F*""","=""2""",,"=""""","=""L4447""",
"=""379.7502""","=""0.0005""","=""379.7498""","=""0.0004""","=""240""","=""""",,"=""18218.784""","=""44544.44""","=""5s.4d""","=""3D""","=""2""","=""5s.9f""","=""3F*""","=""3""",,"=""""","=""L4447""",
