obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
306.1137,0.0005,306.1134,32667.60,,1.05e+04,B+,0.000,32667.63,4p6.5s,2S,1/2,4p6.13p,2P*,3/2,2,4,,T7227,L3287,
306.1381,0.0005,306.1378,32665.00,,4.51e+03,B,0.000,32665.03,4p6.5s,2S,1/2,4p6.13p,2P*,1/2,2,2,,T7227,L3287,
308.2898,0.0005,308.2895,32437.01,2,1.49e+04,B+,0.000,32437.04,4p6.5s,2S,1/2,4p6.12p,2P*,3/2,2,4,,T7227,L3287,
308.3235,0.0005,308.3232,32433.46,,6.98e+03,B,0.000,32433.50,4p6.5s,2S,1/2,4p6.12p,2P*,1/2,2,2,,T7227,L3287,
311.3469,0.0005,311.34685,32118.52,10,2.51e+04,B,0.000,32118.52,4p6.5s,2S,1/2,4p6.11p,2P*,3/2,2,4,,T7227,L3287,
311.3950,0.0005,311.39503,32113.55,3,1.27e+04,B,0.000,32113.55,4p6.5s,2S,1/2,4p6.11p,2P*,1/2,2,2,,T7227,L3287,
315.8444,0.0005,315.84440,31661.16,25,3.38e+04,B,0.000,31661.16,4p6.5s,2S,1/2,4p6.10p,2P*,3/2,2,4,,T7227,L3287,
315.9173,0.0005,315.91734,31653.85,5,2.01e+04,B,0.000,31653.85,4p6.5s,2S,1/2,4p6.10p,2P*,1/2,2,2,,T7227,L3287,
322.8911,0.0005,322.89114,30970.19,50,6.40e+04,C+,0.000,30970.19,4p6.5s,2S,1/2,4p6.9p,2P*,3/2,2,4,,T7227,L3287,
323.0088,0.0005,323.00879,30958.91,6,3.84e+04,C+,0.000,30958.91,4p6.5s,2S,1/2,4p6.9p,2P*,1/2,2,2,,T7227,L3287,
334.9659,0.0006,334.96585,29853.79,60,1.37e+05,B,0.000,29853.79,4p6.5s,2S,1/2,4p6.8p,2P*,3/2,2,4,,T7227,L3287,
335.1775,0.0006,335.17748,29834.94,75,8.91e+04,C+,0.000,29834.94,4p6.5s,2S,1/2,4p6.8p,2P*,1/2,2,2,,T7227,L3287,
358.8074,0.0005,358.80734,27870.11,100,3.96e+05,B+,0.000,27870.11,4p6.5s,2S,1/2,4p6.7p,2P*,3/2,2,4,,T7227,L3287,
359.2597,0.0005,359.25967,27835.02,40,2.89e+05,B,0.000,27835.02,4p6.5s,2S,1/2,4p6.7p,2P*,1/2,2,2,,T7227,L3287,
