obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
1467.153,0.005,1467.1971,6815.922,12,,,51705.020,58520.737,4s2.4p.4d,3P*,1,4s2.4p.(2P*<3/2>).4f,2[5/2],2,3,5,,,L3503,
1482.6426,0.0005,1482.64341,6744.7138,470,,,40020.5604,46765.2705,4s2.4p.5s,1P*,1,4s2.4p.5p,1P,1,3,3,,,L3503,
1492.605,0.005,1492.6021,6699.697,16,,,50068.954,56768.663,4s2.4p.4d,3F*,2,4s2.4p.(2P*<1/2>).4f,2[5/2],3,5,7,,,L3503,
1500.585,0.005,1500.584,6664.068,15,,,51978.15,58642.22,4s2.4p.4d,3P*,0,4s2.4p.(2P*<3/2>).4f,2[3/2],1,1,3,,,L3503,
1504.532,0.005,1504.5522,6646.585,13,,,48726.1143,55372.610,4s2.4p.5p,3P,2,4s2.4p.5d,3D*,2,5,5,,,L3503,
1550.858,0.005,1550.8682,6448.045,20,,,50323.465,56771.466,4s2.4p.4d,3F*,3,4s2.4p.(2P*<1/2>).4f,2[7/2],4,7,9,,,L3503,
1642.926,0.005,1642.86,6086.703,14*,,,57250.9427,63337.89,4s2.4p.6p,1D,2,4s2.4p.18d,"(1/2,5/2)*",2,5,5,,,L3503,
1642.926,0.005,1642.9594,6086.703,14*,,,48088.3504,54174.928,4s2.4p.5p,3P,1,4s2.4p.6s,"(3/2,1/2)*",1,3,3,,,L3503,
1663.118,0.005,1663.1089,6012.802,12*,,,46834.3798,52847.215,4s2.4p.5p,3D,2,4s2.4p.4d,1P*,1,5,3,,,L3503,
1663.118,0.005,1663.16,6012.802,12*,,,54174.928,60187.58,4s2.4p.6s,"(3/2,1/2)*",1,4s2.4p.7p,3P,1,3,3,,,L3503,
1670.3853,0.0005,1670.3852,5986.6429,70,,,52592.224,58578.867,4s2.4p.4d,1F*,3,4s2.4p.(2P*<3/2>).4f,2[9/2],4,7,9,,,L3503,
1676.4367,0.0005,1676.4371,5965.0329,150,,,40020.5604,45985.592,4s2.4p.5s,1P*,1,4s2.4p.5p,3D,1,3,3,,,L3503,
1721.9039,0.0005,1721.9043,5807.5251,135,,,48104.1003,53911.624,4s2.4p.5p,3D,3,4s2.4p.6s,"(3/2,1/2)*",2,7,5,,,L3503,
1843.333,0.005,,5424.955,16,,,,,,,,,,,1,1,,,L3503,
1850.0591,0.0005,1850.0588,5405.2326,35,,,46765.2705,52170.504,4s2.4p.5p,1P,1,4s2.4p.6s,"(1/2,1/2)*",0,3,1,,,L3503,
1876.923,0.005,1876.8959,5327.868,10,,,51437.802,56765.748,4s2.4p.4d,3P*,2,4s2.4p.(2P*<1/2>).4f,2[7/2],3,5,7,,,L3503,
1881.6999,0.0005,1881.6990,5314.3436,70,,,46834.3798,52148.726,4s2.4p.5p,3D,2,4s2.4p.6s,"(1/2,1/2)*",1,5,3,,,L3503,
1928.4509,0.0005,1928.4507,5185.5094,62,,,48726.1143,53911.624,4s2.4p.5p,3P,2,4s2.4p.6s,"(3/2,1/2)*",2,5,5,,,L3503,
2067.928,0.005,2067.94,4835.758,28,,,49075.8917,53911.624,4s2.4p.5p,3S,1,4s2.4p.6s,"(3/2,1/2)*",2,3,5,,,L3503,
2152.417,0.005,2152.34,4645.939,4,,,47502.6257,52148.726,4s2.4p.5p,3P,0,4s2.4p.6s,"(1/2,1/2)*",1,1,3,,,L3503,
2209.787,0.005,2209.78,4525.323,9,,,49649.5807,54174.928,4s2.4p.5p,1D,2,4s2.4p.6s,"(3/2,1/2)*",1,5,3,,,L3503,
2392.845,0.005,2392.78,4179.126,5,,,52592.224,56771.466,4s2.4p.4d,1F*,3,4s2.4p.(2P*<1/2>).4f,2[7/2],4,7,9,,,L3503,
