obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""103.0435""","=""0.0002""","=""103.0435+""","=""a""","=""""",,"=""0.000""","=""97046.4""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).14d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.0902""","=""0.0002""","=""103.090179+""","=""a""","=""""",,"=""0.000""","=""97002.451""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).14d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.1696""","=""0.0002""","=""103.169509+""","=""a""","=""""",,"=""0.000""","=""96927.863""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).15s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.2050""","=""0.0002""","=""103.2050+""","=""a""","=""""",,"=""0.000""","=""96894.5""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).13d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.2666""","=""0.0002""","=""103.266609+""","=""a""","=""""",,"=""0.000""","=""96836.723""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).13d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.3724""","=""0.0002""","=""103.372304+""","=""a""","=""""",,"=""0.000""","=""96737.710""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).14s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.4184""","=""0.0002""","=""103.41862+""","=""a""","=""""",,"=""0.000""","=""96694.39""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).12d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.5022""","=""0.0002""","=""103.502209+""","=""a""","=""""",,"=""0.000""","=""96616.295""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).12d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.6476""","=""0.0002""","=""103.64776+""","=""a""","=""""",,"=""0.000""","=""96480.62""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.7087""","=""0.0002""","=""103.70887+""","=""a""","=""""",,"=""0.000""","=""96423.77""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""103.8259""","=""0.0002""","=""103.82582+""","=""a""","=""""",,"=""0.000""","=""96315.16""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""104.0336""","=""0.0002""","=""104.03362+""","=""a""","=""""",,"=""0.000""","=""96122.77""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""104.1170""","=""0.0002""","=""104.11703+""","=""a""","=""7.9e+07""",C+,"=""0.000""","=""96045.77""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",,"=""T3180""","=""L6449""",
"=""104.2613""","=""0.0002""","=""104.261284+""","=""a""","=""""",,"=""0.000""","=""95912.880""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""""","=""L6449""",
"=""104.383497""","=""0.000003""","=""104.383497+""","=""a""","=""5.9e+07""",C,"=""0.000""","=""95800.584""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""T3180""","=""L9794""",
"=""104.6123""","=""0.0002""","=""104.61239+""","=""a""","=""""",,"=""0.000""","=""95590.97""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L6449""",
"=""104.7136""","=""0.0002""","=""104.71371+""","=""a""","=""1.27e+08""",C+,"=""0.000""","=""95498.48""","=""5p6""","=""1S""","=""0""","=""5p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""T3180""","=""L6449""",
