obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
443.365,,22554.8,100,,,,,,,L3475,
443.757,,22534.9,290,,,,,,,L3475,
444.089,,22518.0,100,,,,,,,L3475,
444.860,,22479.0,230,,,,,,,L3475,
448.602,,22291.5,120,,,,,,,L3475,
454.994,,21978.3,110,,,,,,,L3475,
455.169,,21969.9,540,,,,,,,L3475,
455.258,,21965.6,140,,,,,,,L3475,
461.807,,21654.1,170,,,,,,,L3475,
463.313,,21583.7,170,,,,,,,L3475,
466.513,,21435.7,140,,,,,,,L3475,
479.533,,20853.6,670,,,,,,,L3475,
486.696,,20546.7,110,,,,,,,L3475,
503.323,,19867.9,55,,,,,,,L3475,
504.053,,19839.2,45,,,,,,,L3475,
507.429,,19707.2,35,,,,,,,L3475,
507.618,,19699.8,35,,,,,,,L3475,
508.051,,19683.1,35,,,,,,,L3475,
510.492,,19588.9,90,,,,,,,L3475,
511.223,,19560.9,55,,,,,,,L3475,
512.366,,19517.3,22,,,,,,,L3475,
514.697,,19428.9,22,,,,,,,L3475,
515.117,,19413.0,140,,,,,,,L3475,
515.345,,19404.5,28,,,,,,,L3475,
517.042,,19340.8,28,,,,,,,L3475,
519.497,,19249.4,40,,,,,,,L3475,
520.408,,19215.7,270,,,,,,,L3475,
520.468,,19213.5,35,,,,,,,L3475,
525.728,,19021.2,45,,,,,,,L3475,
526.662,,18987.5,55,,,,,,,L3475,
528.536,,18920.2,20,,,,,,,L3475,
529.712,,18878.2,20,,,,,,,L3475,
530.025,,18867.0,40,,,,,,,L3475,
530.406,,18853.5,13,,,,,,,L3475,
533.771,,18734.6,18,,,,,,,L3475,
534.752,,18700.3,11,,,,,,,L3475,
535.374,,18678.5,13,,,,,,,L3475,
537.829,,18593.3,110,,,,,,,L3475,
540.493,,18501.6,16,,,,,,,L3475,
541.364,,18471.8,13,,,,,,,L3475,
541.785,,18457.5,120,,,,,,,L3475,
541.820,,18456.3,45,,,,,,,L3475,
541.902,,18453.5,28,,,,,,,L3475,
544.333,,18371.1,16,,,,,,,L3475,
544.482,,18366.1,55,,,,,,,L3475,
544.844,,18353.9,22,,,,,,,L3475,
544.927,,18351.1,11,,,,,,,L3475,
545.088,,18345.6,20,,,,,,,L3475,
545.492,,18332.1,20,,,,,,,L3475,
545.882,,18319.0,22,,,,,,,L3475,
547.152,,18276.5,28,,,,,,,L3475,
547.610,,18261.2,13,,,,,,,L3475,
547.665,,18259.3,13,,,,,,,L3475,
547.879,,18252.2,9,,,,,,,L3475,
548.337,,18236.9,16,,,,,,,L3475,
551.086,,18146.0,22,,,,,,,L3475,
551.754,,18124.0,9,,,,,,,L3475,
552.506,,18099.3,270,,,,,,,L3475,
554.836,,18023.3,22,,,,,,,L3475,
555.133,,18013.7,9,,,,,,,L3475,
555.442,,18003.7,13,,,,,,,L3475,
556.216,,17978.6,11,,,,,,,L3475,
558.221,,17914.1,16,,,,,,,L3475,
558.599,,17901.9,80,,,,,,,L3475,
560.205,,17850.6,8,,,,,,,L3475,
562.164,,17788.4,35,,,,,,,L3475,
563.897,,17733.7,9,,,,,,,L3475,
564.413,,17717.5,22,,,,,,,L3475,
564.682,,17709.1,28,,,,,,,L3475,
565.055,,17697.4,7,,,,,,,L3475,
566.178,,17662.3,9,,,,,,,L3475,
567.595,,17618.2,7,,,,,,,L3475,
568.246,,17598.0,28,,,,,,,L3475,
571.095,,17510.2,11,,,,,,,L3475,
572.352,,17471.8,170,,,,,,,L3475,
573.948,,17423.2,8,,,,,,,L3475,
574.131,,17417.6,8,,,,,,,L3475,
576.665,,17341.1,22,,,,,,,L3475,
578.242,,17293.8,170,,,,,,,L3475,
580.221,,17234.8,40,,,,,,,L3475,
584.411,,17111.2,8,,,,,,,L3475,
585.938,,17066.6,110,,,,,,,L3475,
586.226,,17058.3,28,,,,,,,L3475,
588.455,,16993.7,11,,,,,,,L3475,
590.562,,16933.0,11,,,,,,,L3475,
590.848,,16924.8,11,,,,,,,L3475,
591.059,,16918.8,7,,,,,,,L3475,
598.302,,16714.0,7,,,,,,,L3475,
598.488,,16708.8,11,,,,,,,L3475,
599.766,,16673.2,65,,,,,,,L3475,
601.746,,16618.3,20,,,,,,,L3475,
605.631,,16511.7,7,,,,,,,L3475,
614.623,,16270.1,20,,,,,,,L3475,
615.973,,16234.5,11,,,,,,,L3475,
622.942,,16052.9,35,,,,,,,L3475,
624.343,,16016.8,7,,,,,,,L3475,
627.114,,15946.1,22,,,,,,,L3475,
627.668,,15932.0,11,,,,,,,L3475,
628.857,,15901.9,11,,,,,,,L3475,
640.063,,15623.46,9,,,,,,,L3475,
640.492,,15613.00,22,,,,,,,L3475,
644.991,,15504.09,9,,,,,,,L3475,
652.265,,15331.19,6,,,,,,,L3475,
653.067,,15312.36,7,,,,,,,L3475,
653.494,,15302.35,7,,,,,,,L3475,
654.011,,15290.27,11,,,,,,,L3475,
657.865,,15200.69,11,,,,,,,L3475,
661.639,,15113.99,8,,,,,,,L3475,
661.726,,15112.00,4,,,,,,,L3475,
666.365,,15006.79,7,,,,,,,L3475,
673.142,,14855.71,27,,,,,,,L3475,
679.340,,14720.16,18,,,,,,,L3475,
680.849,,14687.55,14,,,,,,,L3475,
688.060,,14533.62,5,,,,,,,L3475,
690.348,,14485.44,4,,,,,,,L3475,
695.794,,14372.07,11,,,,,,,L3475,
698.688,,14312.55,6,,,,,,,L3475,
706.262,,14159.06,15,,,,,,,L3475,
714.751,,13990.89,22,,,,,,,L3475,
715.186,,13982.37,10,,,,,,,L3475,
718.608,,13915.79,4,,,,,,,L3475,
720.832,,13872.87,10,,,,,,,L3475,
721.195,,13865.88,5,,,,,,,L3475,
725.316,,13787.10,9,,,,,,,L3475,
725.549,,13782.67,6,,,,,,,L3475,
737.710,,13555.46,6,,,,,,,L3475,
740.999,,13495.29,9,,,,,,,L3475,
760.504,,13149.17,26,,,,,,,L3475,
770.358,,12980.98,4,,,,,,,L3475,
779.210,,12833.51,7,,,,,,,L3475,
785.433,,12731.83,7,,,,,,,L3475,
798.340,,12526.00,6,,,,,,,L3475,
804.350,,12432.40,7,,,,,,,L3475,
