obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""149.7045""","=""0.0005""","=""149.7042""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66813.69""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.31d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.7221""","=""0.0005""","=""149.7222""","=""0.0005""","=""a""","=""""",,"=""15.287""","=""66805.67""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.30d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.7283""","=""0.0005""","=""149.7282""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66787.68""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.28d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.7409""","=""0.0005""","=""149.7409""","=""0.0005""","=""a""","=""""",,"=""15.287""","=""66797.31""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.29d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.7519""","=""0.0005""","=""149.7520""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66777.09""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.27d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.7624""","=""0.0005""","=""149.7625""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66787.68""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.28d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.7786""","=""0.0005""","=""149.7786""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66765.21""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.26d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.7863""","=""0.0005""","=""149.7862""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66777.09""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.27d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.8082""","=""0.0005""","=""149.8081""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66752.05""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.25d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.8129""","=""0.0005""","=""149.8129""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66765.21""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.26d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.8423""","=""0.0005""","=""149.8422""","=""0.0004""","=""a*""","=""""",,"=""0.0000""","=""66736.87""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.24d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.8423""","=""0.0005""","=""149.8424""","=""0.0005""","=""a*""","=""""",,"=""15.287""","=""66752.05""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.25d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.8765""","=""0.0005""","=""149.8765""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66736.87""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.24d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.8806""","=""0.0005""","=""149.8805""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66719.81""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.23d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.9148""","=""0.0005""","=""149.9149""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66719.81""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.23d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.9240""","=""0.0005""","=""149.9241""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66700.43""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.22d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.9585""","=""0.0005""","=""149.9584""","=""0.0004""","=""a""","=""""",,"=""15.287""","=""66700.43""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.22d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
"=""149.9743""","=""0.0005""","=""149.9741""","=""0.0004""","=""a""","=""""",,"=""0.0000""","=""66678.18""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.21d""","=""2D""","=""3/2,5/2""",,"=""""","=""L2166""",
