obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
291.9904,291.99018,0.00009,34247.71,160,,,0.000,34247.727,4d.5s2,a 2D,3/2,4d2.(3F).5p,x 2D*,5/2,4,6,,,"L7610,L3475",
294.9268,294.92643,0.00009,33906.72,390,3.56e+07,B+,0.000,33906.761,4d.5s2,a 2D,3/2,4d2.(3F).5p,x 2D*,3/2,4,4,,T4373,"L7610,L3475",
296.5830,296.582984,0.000012,33717.38,350,,,530.351,34247.727,4d.5s2,a 2D,5/2,4d2.(3F).5p,x 2D*,5/2,6,6,,,"L7610,L3475",
297.5456,297.54544,0.00009,33608.29,480,3.52e+07,B+,0.000,33608.312,4d.5s2,a 2D,3/2,4d2.(3F).5p,x 2F*,5/2,4,6,,T4373,"L7610,L3475",
298.5125,298.512355,0.000020,33499.44,750,4.78e+07,B+,530.351,34029.802,4d.5s2,a 2D,5/2,4d2.(3F).5p,x 2F*,7/2,6,8,,T4373,"L7610,L3475",
299.61309,299.612810,0.000013,33376.379,70,5.1e+06,B+,530.351,33906.761,4d.5s2,a 2D,5/2,4d2.(3F).5p,x 2D*,3/2,6,4,,T4373,"L7610,L3475",
299.7813,299.78169,0.00009,33357.65,140,8.4e+06,B+,0.000,33357.608,4d.5s2,a 2D,3/2,4d2.(3F).5p,y 4D*,5/2,4,6,,T4373,"L7610,L3475",
300.61377,300.61357,0.00009,33265.275,70,4.7e+06,B+,0.000,33265.298,4d.5s2,a 2D,3/2,4d2.(3F).5p,y 4D*,3/2,4,4,,T9421,"L7610,L3475",
301.9831,301.98314,0.00003,33114.43,55,,,10529.169,43643.601,5s2.5p,z 2P*,1/2,5s2.7s,g 2S,1/2,2,2,,,"L7610,L3475",
302.2605,302.260053,0.000020,33084.04,130,,,530.351,33614.445,4d.5s2,a 2D,5/2,4d2.(3F).5p,y 4D*,7/2,6,8,,,"L7610,L3475",
302.31616,302.316095,0.000013,33077.954,90,6.6e+06,B+,530.351,33608.312,4d.5s2,a 2D,5/2,4d2.(3F).5p,x 2F*,5/2,6,6,,T4373,"L7610,L3475",
303.9351,303.935284,0.000013,32901.76,12,5.2e+05,B+,530.351,33432.092,4d.5s2,a 2D,5/2,4d2.(3F).5p,z 2G*,7/2,6,8,,T9421,L7610,
304.572,,,32833.0,45,,,,,,,,,,,1,1,,,"L7593,L3475",
304.62488,304.624904,0.000013,32827.260,190,1.07e+07,B+,530.351,33357.608,4d.5s2,a 2D,5/2,4d2.(3F).5p,y 4D*,5/2,6,6,,T4373,"L7610,L3475",
304.800,,,32808.4,22,,,,,,,,,,,1,1,,,"L7593,L3475",
,305.483922,0.000013,32734.9470,,1.86e+05,B,530.351,33265.298,4d.5s2,a 2D,5/2,4d2.(3F).5p,y 4D*,3/2,6,4,,T9421,,
309.26187,,,32335.057,55h,,,,,,,,,,,1,1,,,"L7610,L3475",
