obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
160.124,0.003,160.12188,0.00018,7200,6.3e+07,D+,82171.7320,144624.16,4d9.(2D<5/2>).5p,2[7/2]*,3,4d9.(2D<5/2>).7s,2[5/2],2,,T9142,L647c114,
160.496,0.003,160.49636,0.00023,3500,,,82171.7320,144478.44,4d9.(2D<5/2>).5p,2[7/2]*,3,4d9.(2D<5/2>).7s,2[5/2],3,,,L647c114,
160.524,0.003,160.52890,0.00021,5000,,,86888.0990,149182.18,4d9.(2D<3/2>).5p,2[5/2]*,2,4d9.(2D<3/2>).7s,2[3/2],2,,,L647c114,
160.788,0.003,160.78525,0.00023,3700,5.2e+07,D+,86888.0990,149082.86,4d9.(2D<3/2>).5p,2[5/2]*,2,4d9.(2D<3/2>).7s,2[3/2],1,,T9142,L647c114,
163.9382,0.0003,163.93807,0.00019,2400,,,83625.5147,144624.16,4d9.(2D<5/2>).5p,2[3/2]*,1,4d9.(2D<5/2>).7s,2[5/2],2,,,L11881c113,
164.4496,0.0003,164.44991,0.00024,7700,7.1e+07,D+,83669.6491,144478.44,4d9.(2D<5/2>).5p,2[7/2]*,4,4d9.(2D<5/2>).7s,2[5/2],3,,T9142,L11881c113,
166.5351,0.0003,166.53495,0.00022,14000,7.1e+07,D+,89134.7240,149182.18,4d9.(2D<3/2>).5p,2[5/2]*,3,4d9.(2D<3/2>).7s,2[3/2],2,,T9142,L11881c113,
168.2835,0.0003,168.28386,0.00020,8000,3.8e+07,D+,85200.7563,144624.16,4d9.(2D<5/2>).5p,2[5/2]*,2,4d9.(2D<5/2>).7s,2[5/2],2,,T9142,L11881c113,
168.6718,0.0003,168.67206,0.00023,2200,,,89895.5377,149182.18,4d9.(2D<3/2>).5p,2[3/2]*,1,4d9.(2D<3/2>).7s,2[3/2],2,,,L11881c113,
170.2185,0.0003,170.2186,0.0003,4000,,,90334.8716,149082.86,4d9.(2D<3/2>).5p,2[1/2]*,1,4d9.(2D<3/2>).7s,2[3/2],1,,,L11881c113,
171.544,0.003,171.54325,0.00024,1500,3.4e+07,D+,90887.8423,149182.18,4d9.(2D<3/2>).5p,2[3/2]*,2,4d9.(2D<3/2>).7s,2[3/2],2,,T9142,L647c114,
171.8360,0.0003,171.8360,0.0003,920,,,90887.8423,149082.86,4d9.(2D<3/2>).5p,2[3/2]*,2,4d9.(2D<3/2>).7s,2[3/2],1,,,L11881c113,
171.9295,0.0003,171.92910,0.00021,2200,,,86460.6511,144624.16,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).7s,2[5/2],2,,,L11881c113,
172.3612,0.0003,172.3609,0.0003,5800,3.6e+07,D+,86460.6511,144478.44,4d9.(2D<5/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).7s,2[5/2],3,,T9142,L11881c113,
173.2017,0.0003,173.20198,0.00021,1900,,,86888.0990,144624.16,4d9.(2D<3/2>).5p,2[5/2]*,2,4d9.(2D<5/2>).7s,2[5/2],2,,,L11881c113,
180.219,0.003,180.21448,0.00023,1400,,,89134.7240,144624.16,4d9.(2D<3/2>).5p,2[5/2]*,3,4d9.(2D<5/2>).7s,2[5/2],2,,,L647c114,
