obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
462.816,462.8161+,1700,4.25e+07,B+,4165.550,25766.355,4f2.(3H).6s,4H,9/2,4f2.(3H<4>).6p<1/2>,"(4,1/2)*",9/2,,T8629,L3475,
465.429,465.4278+,130,8.7e+06,B+,4201.893,25681.488,4f.(2F*).5d2.(3F),4F*,3/2,4f.5d.(3F*).6p,,3/2,,T8629,L3475,
466.950,466.9500+,110,,,11454.701,32864.278,4f2.(3H).5d,2I,13/2,4f2.(3F<4>).6p<3/2>,"(4,3/2)*",11/2,,,L3475,
468.013,468.0119+,150,1.26e+07,B,8531.678,29892.677,4f2.(3F).6s,4F,7/2,4f2.(3H<5>).6p<3/2>,"(5,3/2)*",7/2,,T8629,L3475,
468.461,468.4598+,270,1.03e+07,B,7293.938,28634.516,4f.(2F*).5d2.(3F),2I*,13/2,4f.5d.(1G*).6p,,11/2,,T8629,L3475,
471.400,471.4017+,200,1.17e+07,B+,8927.514,30134.910,4f.5d.(3H*).6s,*,11/2,4f.5d.(3H*).6p,4H,11/2,,T8629,L3475,
471.481,471.4831+,100,7.5e+06,B+,8531.678,29735.413,4f2.(3F).6s,4F,7/2,4f2.(3H<5>).6p<3/2>,"(5,3/2)*",9/2,,T8629,L3475,
472.509,472.5069+,110,,,4201.893,25359.686,4f.(2F*).5d2.(3F),4F*,3/2,4f.5d.(3F*).6p,4G,5/2,,,L3475,
473.352,473.3526+,100,,,10114.883,31234.878,4f.5d.(1F*).6s,2F*,5/2,4f.5d.(1D*).6p,,5/2,,,L3475,
473.728,473.7271+,310,2.90e+07,B+,8789.380,29892.677,4f2.(3F).6s,2F,5/2,4f2.(3H<5>).6p<3/2>,"(5,3/2)*",7/2,,T8629,L3475,
473.953,473.9514+,100,,,10058.226,31151.534,4f2.(3H).5d,4I,13/2,4f2.(3H<6>).6p<3/2>,"(6,3/2)*",11/2,,,L3475,
474.717,474.7167+,160,,,2581.257,23640.563,4f.(2F*).5d2.(3F),4H*,9/2,4f2.(3P).5d,,9/2,,,L3475,
475.784,475.7841+,110,5.7e+06,B+,7713.089,28725.148,4f.(2F*).5d2.(1G),*,9/2,4f.5d.(3H*).6p,,9/2,,T8629,L3475,
476.877,476.8791+,100,4.7e+06,B,7011.804,27975.619,4f2.(3H).5d,2H,9/2,4f2.(3H<5>).6p<1/2>,"(5,1/2)*",9/2,,T8629,L3475,
477.394,477.3941+,230,2.00e+07,B+,7454.951,28396.150,4f2.(3F).6s,4F,3/2,4f2.(3H<4>).6p<3/2>,"(4,3/2)*",5/2,,T8629,L3475,
488.246,488.2463+,180,3.58e+07,B+,12326.417,32802.165,4f.(2F*).5d2.(1G),2K*,13/2,4f.5d.(3H*).6p,2I,11/2,,T8629,L3475,
497.150,497.1494+,130,,,14404.40,34513.468,4f.(2F*).5d2.(1G),2K*,15/2,4f.5d.(3H*).6p,2I,13/2,,,L3475,
501.177,501.1759+,100,1.43e+07,B+,8448.641,28396.150,4f2.(3H).5d,4G,5/2,4f2.(3H<4>).6p<3/2>,"(4,3/2)*",5/2,,T8629,L3475,
502.287,502.2867+,120,9.2e+06,B,8423.672,28327.071,4f2.(3H).5d,4K,13/2,4f2.(3H<4>).6p<3/2>,"(4,3/2)*",11/2,,T8629,L3475,
503.778,503.7800+,120,7.0e+06,B,8131.217,27975.619,4f2.(3H).5d,4I,9/2,4f2.(3H<5>).6p<1/2>,"(5,1/2)*",9/2,,T8629,L3475,
504.402,504.4023+,180,1.35e+07,B,9771.956,29591.873,4f2.(3H).5d,4K,15/2,4f2.(3H<5>).6p<3/2>,"(5,3/2)*",13/2,,T8629,L3475,
507.535,507.5355+,240,1.15e+07,B+,8278.054,27975.619,4f2.(3H).5d,2H,11/2,4f2.(3H<5>).6p<1/2>,"(5,1/2)*",9/2,,T8629,L3475,
507.968,507.9682+,470,,,11165.796,30846.582,4f2.(3H).5d,4K,17/2,4f2.(3H<6>).6p<3/2>,"(6,3/2)*",15/2,,,L3475,
511.717,511.7169+,160,,,11309.972,30846.582,4f2.(3H).5d,4I,15/2,4f2.(3H<6>).6p<3/2>,"(6,3/2)*",15/2,,,L3475,
514.757,514.7565+,110,1.25e+07,B,10314.162,29735.413,4f2.(3H).5d,4G,9/2,4f2.(3H<5>).6p<3/2>,"(5,3/2)*",9/2,,T8629,L3475,
518.746,518.7458+,370,2.62e+07,B+,9771.956,29043.854,4f2.(3H).5d,4K,15/2,4f2.(3H<6>).6p<1/2>,"(6,1/2)*",13/2,,T8629,L3475,
519.166,519.1633+,210,7.8e+06,B,7011.804,26268.203,4f2.(3H).5d,2H,9/2,4f2.(3H<4>).6p<1/2>,"(4,1/2)*",7/2,,T8629,L3475,
523.292,523.2918+,140,1.00e+07,B,10646.070,29750.547,4f2.(3H).5d,2I,11/2,4f2.(3H<5>).6p<3/2>,"(5,3/2)*",11/2,,T8629,L3475,
526.571,526.5677+,130,1.00e+07,B+,10058.226,29043.854,4f2.(3H).5d,4I,13/2,4f2.(3H<6>).6p<1/2>,"(6,1/2)*",13/2,,T8629,L3475,
527.423,527.4229+,340,2.68e+07,B+,8423.672,27378.515,4f2.(3H).5d,4K,13/2,4f2.(3H<5>).6p<1/2>,"(5,1/2)*",11/2,,T8629,L3475,
533.054,533.0556+,190,9.3e+06,B,7011.804,25766.355,4f2.(3H).5d,2H,9/2,4f2.(3H<4>).6p<1/2>,"(4,1/2)*",9/2,,T8629,L3475,
535.353,535.3524+,450,2.88e+07,B+,7092.265,25766.355,4f2.(3H).5d,4K,11/2,4f2.(3H<4>).6p<1/2>,"(4,1/2)*",9/2,,T8629,L3475,
539.340,539.3392+,300,1.99e+07,B+,8896.729,27432.782,4f2.(3H).5d,4I,11/2,4f2.(3H<4>).6p<3/2>,"(4,3/2)*",9/2,,T8629,L3475,
540.923,540.9229+,280,9.8e+06,B,8896.729,27378.515,4f2.(3H).5d,4I,11/2,4f2.(3H<5>).6p<1/2>,"(5,1/2)*",11/2,,T8629,L3475,
546.837,546.8371+,140,1.34e+07,B,11309.972,29591.873,4f2.(3H).5d,4I,15/2,4f2.(3H<5>).6p<3/2>,"(5,3/2)*",13/2,,T8629,L3475,
