obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
239.3309,0.0019,239.3311,0.0012,53,,,72048.260,113818.65,5s2.5d,2D,5/2,5s.5p.(3P*).5d,2D*,5/2,,,"L17864,L18891",
240.6712,0.0019,240.67088,0.00006,85,3.4e+05,D+,50730.224,92268.106,5s.5p2,4P,5/2,5s2.7p,2P*,3/2,,T8718,L17864,
243.348,0.003,243.349,0.003,160bl(Sn I),,,71493.273,112574.1,5s2.6p,2P*,1/2,5s2.11d,2D,3/2,,,L17864,
244.27,,244.27019,0.00006,5700:,2.4e+05,D+,48368.185,89294.055,5s.5p2,4P,3/2,5s2.4f,2F*,5/2,,T8718,L18529,
244.89079,0.00007,244.89089,0.00004,3500,6.4e+07,D+,58844.181,99666.327,5s.5p2,2D,3/2,5s2.5f,2F*,5/2,,T9352,L3149,
248.66,,248.66356,0.00005,2300:,1.0e+07,D,59463.481,99666.327,5s.5p2,2D,5/2,5s2.5f,2F*,5/2,,T7306,L18529,
248.69666,0.00008,248.69665,0.00004,4100,6.8e+07,D+,59463.481,99660.978,5s.5p2,2D,5/2,5s2.5f,2F*,7/2,,T9352,L3149,
252.269,0.009,252.262,0.008,1700,,,71493.273,111122.6,5s2.6p,2P*,1/2,5s2.10d,2D,3/2,,,L3368,
253.895,0.010,253.9169,0.0013,1900,,,71406.142,110777.28,5s2.5d,2D,3/2,5s.5p.(3P*).6s,4P*,3/2,,,L17864,
257.915,0.023,257.882,0.007,190,1.0e+07,D+,72377.4484,111143.3,5s2.6p,2P*,3/2,5s2.10d,2D,5/2,,T9352,L3368,
259.23,,259.23281,0.00005,550:,1.9e+05,D+,50730.224,89294.055,5s.5p2,4P,5/2,5s2.4f,2F*,5/2,,T8718,L18529,
259.27198,0.00017,259.27181,0.00005,1200,2.9e+06,C+,50730.224,89288.255,5s.5p2,4P,5/2,5s2.4f,2F*,7/2,,T8718,L3149,
260.874,0.024,260.872,0.027,200,,,72377.4484,110699,5s2.6p,2P*,3/2,5s2.11s,2S,1/2,,,L3368,
