obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
854.209,854.209,170,9.9e+06,C,13710.88,25414.40,3p6.3d,2D,5/2,3p6.4p,2P*,3/2,,"u7,LS",L7323,
866.214,866.214,160,1.06e+07,C,13650.19,25191.51,3p6.3d,2D,3/2,3p6.4p,2P*,1/2,,"u7,LS",L7323,
891.207,,100,,,,,,,,,,,,,L7323,
892.736,,110,,,,,,,,,,,,,L7323,
921.390,,110,,,,,,,,,,,,,L6097,
931.200,,90,,,,,,,,,,,,,L6097,
931.956,,100,,,,,,,,,,,,,L6097,
932.065,,110,,,,,,,,,,,,,L6097,
956.797,,100,,,,,,,,,,,,,L6097,
959.924,,110,,,,,,,,,,,,,L6097,
960.182,,80,,,,,,,,,,,,,L6097,
985.474,985.476,80,1.9e+07,D,60533.02,70677.62,3p6.5p,2P*,1/2,3p6.6s,2S,1/2,,"T1619CA,LS",L7323,
989.063,,110,,,,,,,,,,,,,L7323,
993.139,993.137,90,3.8e+07,D,60611.28,70677.62,3p6.5p,2P*,3/2,3p6.6s,2S,1/2,,"T1619CA,LS",L7323,
1022.304,,100,,,,,,,,,,,,,L6097,
1183.899,1183.900,20,2.3e+07,D,52166.93,60611.28,3p6.5s,2S,1/2,3p6.5p,2P*,3/2,,"T1619CA,LS",L7323,
1194.972,1194.974,10,2.3e+07,D,52166.93,60533.02,3p6.5s,2S,1/2,3p6.5p,2P*,1/2,,"T1619CA,LS",L7323,
obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
2139.484,,,,,,,,,,,,,,,L7323,
2143.475,,,,,,,,,,,,,,,L7323,
,164772,,2.41e-06,A,13650.19,13710.88,3p6.3d,2D,3/2,3p6.3d,2D,5/2,M1,T340,,
