Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""4""","=""""","=""117666.626""","=""""","=""0.005""","=""""","=""  88                                    :     3  3d8.(3F).4s.4p.(3P*) 5F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""3""","=""""","=""118142.950""","=""""","=""0.003""","=""""","=""  63                                    :    14  3d8.(3F).4s.4p.(3P*) 1F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""3F*""","=""2""","=""""","=""119039.6355""","=""""","=""0.0019""","=""""","=""  82                                    :     8  3d8.(3F).4s.4p.(3P*) 3D*      ""","=""L19804"""
"=""3d9.(2D<3/2>).4d""","=""2[7/2]""","=""3""","=""""","=""117747.3504""","=""""","=""0.0015""","=""""","=""  95                                    :     4  3d9.(2D<5/2>).4d     2[7/2]   ""","=""L19804"""
"=""3d9.(2D<3/2>).4d""","=""2[7/2]""","=""4""","=""""","=""117883.0985""","=""""","=""0.0013""","=""""","=""  96                                    :     2  3d9.(2D<5/2>).4d     2[7/2]   ""","=""L19804"""
"=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""1""","=""""","=""117928.2197""","=""""","=""0.0018""","=""""","=""  98                                    :                                      ""","=""L19804"""
"=""3d9.(2D<3/2>).4d""","=""2[3/2]""","=""2""","=""""","=""118163.2663""","=""""","=""0.0015""","=""""","=""  82                                    :    12  3d9.(2D<3/2>).4d     2[5/2]   ""","=""L19804"""
"=""3d9.(2D<3/2>).4d""","=""2[5/2]""","=""3""","=""""","=""118483.8135""","=""""","=""0.0015""","=""""","=""  98                                    :     1  3d9.(2D<5/2>).4d     2[5/2]   ""","=""L19804"""
"=""3d9.(2D<3/2>).4d""","=""2[5/2]""","=""2""","=""""","=""118531.9058""","=""""","=""0.0016""","=""""","=""  86                                    :    12  3d9.(2D<3/2>).4d     2[3/2]   ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""1G*""","=""4""","=""""","=""118991.330""","=""""","=""0.007""","=""""","=""  75                                    :    20  3d8.(3F).4s.4p.(3P*) 3G*      ""","=""L19804"""
"=""3d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""","=""""","=""120092.3828""","=""""","=""0.0012""","=""""","=""  96                                    :     2  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""","=""""","=""120919.5715""","=""""","=""0.0012""","=""""","=""  83                                    :    15  3d9.(2D<3/2>).5p     2[1/2]*  ""","=""L19804"""
"=""3d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""","=""""","=""120684.7128""","=""""","=""0.0013""","=""""","=""  86                                    :    13  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).5p""","=""2[7/2]*""","=""4""","=""""","=""120789.80865""","=""""","=""0.0013""","=""""","=""  95                                    :     4  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""","=""""","=""120876.0141""","=""""","=""0.0015""","=""""","=""  51                                    :    41  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""","=""""","=""121079.1501""","=""""","=""0.0012""","=""""","=""  54                                    :    35  3d8.4s.4p                     ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""1F*""","=""3""","=""""","=""121524.8509""","=""""","=""0.0014""","=""""","=""  39                                    :    43  3d9.5p               3D*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""1D*""","=""2""","=""""","=""121981.8546""","=""""","=""0.0015""","=""""","=""  36                                    :    32  3d9.5p               3D*      ""","=""L19804"""
"=""3d9.(2D<3/2>).5p""","=""2[1/2]*""","=""0""","=""""","=""122224.0199""","=""""","=""0.0020""","=""""","=""  99                                                                           ""","=""L19804"""
"=""3d9.(2D<3/2>).5p""","=""2[1/2]*""","=""1""","=""""","=""122867.7407""","=""""","=""0.0015""","=""""","=""  75                                    :    14  3d9.(2D<5/2>).5p     2[3/2]*  ""","=""L19804"""
"=""3d9.(2D<3/2>).5p""","=""2[5/2]*""","=""2""","=""""","=""122745.9491""","=""""","=""0.0013""","=""""","=""  85                                    :     4  3d9.(2D<3/2>).5p     2[3/2]*  ""","=""L19804"""
"=""3d9.(2D<3/2>).5p""","=""2[5/2]*""","=""3""","=""""","=""123016.8175""","=""""","=""0.0014""","=""""","=""  91                                    :     7  3d8.4s.4p                     ""","=""L19804"""
"=""3d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""","=""""","=""123304.823""","=""""","=""0.003""","=""""","=""  86                                    :     9  3d9.(2D<3/2>).5p     2[1/2]*  ""","=""L19804"""
"=""3d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""","=""""","=""123556.8261""","=""""","=""0.0016""","=""""","=""  76                                    :    13  3d8.4s.4p                     ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""3""","=""""","=""125230.061""","=""""","=""0.017""","=""""","=""  88                                    :     8  3d8.(1D).4s.4p.(3P*) 3D*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""2""","=""""","=""125248.121""","=""""","=""0.008""","=""""","=""  88                                    :     3  3d8.(1D).4s.4p.(3P*) 3P*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""5P*""","=""1""","=""""","=""125569.33""","=""""","=""0.04""","=""""","=""  94                                    :     2  3d8.(1D).4s.4p.(3P*) 3P*      ""","=""L19804"""
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""2""","=""""","=""128365.736""","=""""","=""0.006""","=""""","=""  69                                    :    15  3d8.(1D).4s.4p.(3P*) 3D*      ""","=""L19804"""
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""3""","=""""","=""128559.314""","=""""","=""0.008""","=""""","=""  68                                    :    11  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(1D).4s.4p.(3P*)""","=""3F*""","=""4""","=""""","=""128778.037""","=""""","=""0.017""","=""""","=""  64                                    :    28  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(1D).4s.4p.(3P*)""","=""3D*""","=""1""","=""""","=""128569.150""","=""""","=""0.008""","=""""","=""  66                                    :     9  3d8.(1D).4s.4p.(3P*) 3P*      ""","=""L19804"""
"=""3d8.(1D).4s.4p.(3P*)""","=""3D*""","=""2""","=""""","=""128854.036""","=""""","=""0.008""","=""""","=""  59                                    :    19  3d8.(1D).4s.4p.(3P*) 3F*      ""","=""L19804"""
"=""3d8.(1D).4s.4p.(3P*)""","=""3D*""","=""3""","=""""","=""129116.774""","=""""","=""0.011""","=""""","=""  69                                    :    10  3d8.(1D).4s.4p.(3P*) 3F*      ""","=""L19804"""
"=""3d8.4s2""","=""1S""","=""0""","=""""","=""128910.03""","=""""","=""0.06""","=""""","=""  94                                    :     5  3d8.(1S).4p2.(1S)    1S       ""","=""L19804"""
"=""3d8.(1D).4s.4p.(3P*)""","=""3P*""","=""0""","=""""","=""129105.778""","=""""","=""0.009""","=""""","=""  63                                    :    32  3d8.(3P).4s.4p.(3P*) 3P*      ""","=""L19804"""
"=""3d8.(1D).4s.4p.(3P*)""","=""3P*""","=""1""","=""""","=""129759.750""","=""""","=""0.006""","=""""","=""  56                                    :    19  3d8.(1D).4s.4p.(3P*) 3D*      ""","=""L19804"""
"=""3d8.(1D).4s.4p.(3P*)""","=""3P*""","=""2""","=""""","=""130386.404""","=""""","=""0.016""","=""""","=""  74                                    :    12  3d8.(3P).4s.4p.(3P*) 3P*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""5D*""","=""1""","=""""","=""130940.488""","=""""","=""0.008""","=""""","=""  91                                    :     5  3d8.(3F).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""5D*""","=""2""","=""""","=""130943.661""","=""""","=""0.009""","=""""","=""  88                                    :     5  3d8.(3F).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""5D*""","=""0""","=""""","=""130953.558""","=""""","=""0.016""","=""""","=""  91                                    :     6  3d8.(3F).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""5D*""","=""3""","=""""","=""131044.310""","=""""","=""0.008""","=""""","=""  81                                    :    11  3d8.(1D).4s.4p.(3P*) 3F*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""5D*""","=""4""","=""""","=""131312.426""","=""""","=""0.013""","=""""","=""  66                                    :    25  3d8.(1D).4s.4p.(3P*) 3F*      ""","=""L19804"""
"=""3d9.(2D<5/2>).6s""","=""2[5/2]""","=""3""","=""""","=""133594.2323""","=""""","=""0.0013""","=""""","="" 100                                    :                                      ""","=""L19804"""
"=""3d9.(2D<5/2>).6s""","=""2[5/2]""","=""2""","=""""","=""133728.0387""","=""""","=""0.0013""","=""""","="" 100                                    :                                      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""2""","=""""","=""133825.927""","=""""","=""0.004""","=""""","=""  55                                    :    22  3d8.(3P).4s.4p.(3P*) 3D*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""1""","=""""","=""135135.168""","=""""","=""0.003""","=""""","=""  38                                    :    32  3d8.(3P).4s.4p.(3P*) 3D*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""3P*""","=""0""","=""""","=""135484.075""","=""""","=""0.004""","=""""","=""  60                                    :    31  3d8.(1D).4s.4p.(3P*) 3P*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""3""","=""""","=""133984.325""","=""""","=""0.004""","=""""","=""  47                                    :    31  3d8.(3F).4s.4p.(1P*) 3D*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""1""","=""""","=""134359.847""","=""""","=""0.003""","=""""","=""  52                                    :    24  3d8.(3P).4s.4p.(3P*) 3P*      ""","=""L19804"""
"=""3d8.(3P).4s.4p.(3P*)""","=""3D*""","=""2""","=""""","=""134675.522""","=""""","=""0.003""","=""""","=""  50                                    :    22  3d8.(3P).4s.4p.(3P*) 3P*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(1P*)""","=""3G*""","=""5""","=""""","=""134110.870""","=""""","=""0.004""","=""""","=""  93                                    :     2  3d9.4f               3G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(1P*)""","=""3G*""","=""4""","=""""","=""135834.6720""","=""""","=""0.0019""","=""""","=""  49                                    :    22  3d8.(3F).4s.4p.(1P*) 3F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(1P*)""","=""3G*""","=""3""","=""""","=""137078.190""","=""""","=""0.005""","=""""","=""  52                                    :    19  3d8.(3F).4s.4p.(1P*) 3F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""4""","=""""","=""134742.863""","=""""","=""0.003""","=""""","=""  50                                    :    31  3d8.(3F).4s.4p.(1P*) 3G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""3""","=""""","=""136441.817""","=""""","=""0.003""","=""""","=""  25                                    :    25  3d8.(3F).4s.4p.(1P*) 3G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""2""","=""""","=""139710.491""","=""""","=""0.004""","=""""","=""  19                                    :    42  3d9.6p               1D*      ""","=""L19804"""
