Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""1s2.2p.4d""","=""1D*""","=""2""","=""""","=""221876.4""","=""""","=""1.1""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.4d""","=""3F*""","=""2,3,4""","=""""","=""221922.4""","=""""","=""2.3""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.4f""","=""1F""","=""3""","=""""","=""223027.0""","=""""","=""1.3""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.4f""","=""3F""","=""4""","=""""","=""223039.5""","=""""","=""1.2""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.4f""","=""3F""","=""3""","=""""","=""223039.5""","=""""","=""1.2""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.4f""","=""3F""","=""2""","=""""","=""223039.5""","=""""","=""1.2""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.4d""","=""3D*""","=""1,2,3""","=""""","=""223041.1""","=""""","=""1.2""","="" 100                                               ""","=""L12120"""
"=""1s2.2p.4d""","=""3P*""","=""0,1,2""","=""""","=""223390""","=""""","=""80""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.4f""","=""3D""","=""1,2,3""","=""""","=""223630""","=""""","=""80""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.4d""","=""1F*""","=""3""","=""""","=""224479.2""","=""?""","=""1.2""","=""  95                                               ""","=""L12120"""
"=""1s2.2p.4d""","=""1P*""","=""1""","=""""","=""224838""","=""""","=""8""","=""  93                                               ""","=""L12120"""
"=""1s2.2p.5s""","=""1P*""","=""1""","=""""","=""230431""","=""""","=""16""","=""  97                                               ""","=""L12120"""
"=""1s2.2p.5p""","=""3D""","=""1,2,3""","=""""","=""231540""","=""""","=""8""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.5p""","=""3P""","=""0,1,2""","=""""","=""232285""","=""""","=""8""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.5d""","=""3D*""","=""1,2,3""","=""""","=""233220""","=""""","=""90""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.5d""","=""1P*""","=""1""","=""""","=""234160""","=""""","=""5""","=""  91                      :     6  1s2.2p.6d  1P*  ""","=""L12120"""
"=""1s2.2p.6s""","=""1P*""","=""1""","=""""","=""237231""","=""""","=""17""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.6p""","=""3D""","=""1,2,3""","=""""","=""237827""","=""""","=""8""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.6p""","=""3P""","=""0,1,2""","=""""","=""238234""","=""""","=""8""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.6d""","=""1P*""","=""1""","=""""","=""239300""","=""""","=""6""","=""  93                      :     5  1s2.2p.5d  1P*  ""","=""L12120"""
"=""1s2.2p.7s""","=""1P*""","=""1""","=""""","=""241074""","=""""","=""17""","=""  98                                               ""","=""L12120"""
"=""1s2.2p.7p""","=""3P""","=""0,1,2""","=""""","=""241660""","=""""","=""30""","=""                                                   ""","=""L12120"""
"=""1s2.2p.7d""","=""1P*""","=""1""","=""""","=""242442""","=""""","=""12""","=""                                                   ""","=""L12120"""
"=""1s2.2p.8s""","=""1P*""","=""1""","=""""","=""243582""","=""""","=""18""","=""                                                   ""","=""L12120"""
"=""1s2.2p.8p""","=""3P""","=""0,1,2""","=""""","=""243961""","=""""","=""9""","=""                                                   ""","=""L12120"""
"=""1s2.2p.8d""","=""1P*""","=""1""","=""""","=""244511""","=""""","=""12""","=""                                                   ""","=""L12120"""
"=""1s2.2p.9s""","=""1P*""","=""1""","=""""","=""245230""","=""""","=""60""","=""                                                   ""","=""L12120"""
"=""1s2.2p.9p""","=""3P""","=""0,1,2""","=""""","=""245531""","=""""","=""9""","=""                                                   ""","=""L12120"""
"=""1s2.2p.9d""","=""1P*""","=""1""","=""""","=""245900""","=""""","=""500""","=""                                                   ""","=""L12120"""
"=""1s2.2p.10s""","=""1P*""","=""1""","=""""","=""246470""","=""""","=""60""","=""                                                   ""","=""L12120"""
"=""1s2.2p.10p""","=""3P""","=""0,1,2""","=""""","=""246599""","=""""","=""9""","=""                                                   ""","=""L12120"""
"=""1s2.2p.10d""","=""1P*""","=""1""","=""""","=""246858""","=""""","=""6""","=""                                                   ""","=""L12120"""
"=""1s2.2p.11p""","=""3P""","=""0,1,2""","=""""","=""247416""","=""""","=""13""","=""                                                   ""","=""L12120"""
"=""1s2.2p.12p""","=""3P""","=""0,1,2""","=""""","=""248067""","=""""","=""13""","=""                                                   ""","=""L12120"""
"=""1s2.2p.13p""","=""3P""","=""0,1,2""","=""""","=""248534""","=""""","=""22""","=""                                                   ""","=""L12120"""
"=""1s.2s2.2p""","=""3P*""","=""0,1,2""","=""""","=""1551700""","=""""","=""800""","=""                                                   ""","=""L12120"""
"=""1s.2s.2p2""","=""5P""","=""1,2,3""","=""""","=""1565900""","=""+x""","=""1600""","=""                                                   ""","=""L12120"""
"=""1s.2s2.2p""","=""1P*""","=""1""","=""""","=""1567640""","=""""","=""750""","=""                                                   ""","=""L12120"""
"=""1s.2p3""","=""5S*""","=""2""","=""""","=""1641433""","=""+x""","=""4""","=""                                                   ""","=""L12120"""
"=""1s.2s2.3p""","=""1P*""","=""1""","=""""","=""1694630""","=""""","=""850""","=""                                                   ""","=""L12120"""
"=""1s.2s2.4p""","=""1P*""","=""1""","=""""","=""1723840""","=""""","=""850""","=""                                                   ""","=""L12120"""
"=""1s.2s2.5p""","=""1P*""","=""1""","=""""","=""1736400""","=""""","=""900""","=""                                                   ""","=""L12120"""
"=""1s.2s2.6p""","=""1P*""","=""1""","=""""","=""1742870""","=""""","=""900""","=""                                                   ""","=""L12120"""
"=""1s.2p2.3s""","=""5P""","=""1,2,3""","=""""","=""1758024""","=""+x""","=""30""","=""                                                   ""","=""L12120"""
