Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
,*,3/2,4,,42650.795,,,0.845,                                   ,
,*,5/2,6,,42747.673,,,0.935,                                   ,
,*,7/2,8,,42769.495,,,1.135,                                   ,
,*,3/2,4,,42862.753,,,0.920,                                   ,
4f11.(4I*).5d.6p?,,11/2,12,,42987.453,,,1.285,                                   ,
4f11.(4I*).5d.6p?,,13/2,14,,43103.357,,,1.305,                                   ,
,*,5/2,6,,43161.997,,,1.020,                                   ,
4f11.(4I*).6s.6p?,,9/2,10,,43212.458,,,1.020,                                   ,
,*,9/2,10,,43221.660,,,1.060,                                   ,
4f11.(4I*).5d.6p?,,15/2,16,,43223.145,,,1.200,                                   ,
4f11.(4I*).6s.6p?,,11/2,12,,43273.539,,,1.060,                                   ,
,*,7/2,8,,43302.725,,,1.120,                                   ,
4f11.(4I*).6s.6p?,,13/2,14,,43319.482,,,1.230,                                   ,
4f11.(4I*).5d.6p?,,19/2,20,,43413.717,,,1.195,                                   ,
4f11.(4I*).5d.6p?,,9/2,10,,43460.803,,,1.485,                                   ,
,,15/2,16,,43522.203,,,1.155,                                   ,
,*,5/2,6,,43553.435,,,1.035,                                   ,
,,11/2,12,,43638.448,,,1.215,                                   ,
,,13/2,14,,43724.968,,,1.205,                                   ,
,*,7/2,8,,43925.092,,,1.185,                                   ,
,*,3/2,4,,43929.434,,,0.810,                                   ,
,*,7/2,8,,43939.914,,,1.225,                                   ,
,,19/2,20,,43977.651,,,1.150,                                   ,
,*,7/2,8,,44148.073,,,1.065,                                   ,
,*,3/2,4,,44162.153,,,0.770,                                   ,
,,17/2,18,,44235.276,,,1.170,                                   ,
,,15/2,16,,44263.177,,,1.225,                                   ,
,,17/2,18,,44820.220,,,1.115,                                   ,
,*,3/2,4,,44848.559,,,1.095,                                   ,
,,13/2,14,,44920.406,,,1.160,                                   ,
,,15/2,16,,44955.121,,,1.155,                                   ,
,*,7/2,8,,45011.044,,,0.990,                                   ,
,,17/2,18,,45285.068,,,1.180,                                   ,
,,17/2,18,,45471.524,,,1.200,                                   ,
,,11/2,12,,45559.568,,,1.170,                                   ,
,,9/2,10,,45900.980,,,1.245,                                   ,
,,13/2,14,,46106.988,,,1.150,                                   ,
,,15/2,16,,46260.808,,,1.165,                                   ,
,,11/2,12,,46525.882,,,1.195,                                   ,
,,21/2,22,,46560.615,,,1.265,                                   ,
,,15/2,16,,46757.391,,,1.220,                                   ,
,,19/2,20,,46757.780,,,1.200,                                   ,
