Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.2p4.(3P).4d,4F,5/2,6,,302839.2693,,0.003,  60                            :    24  2s2.2p4.(3P).4d    2D    ,L9088
2s2.2p4.(3P).4d,4F,3/2,4,,302961.0417,,0.003,  78                            :    15  2s2.2p4.(3P).4d    2P    ,L9088
2s2.2p4.(3P).4d,2F,7/2,8,,302247.7634,,0.003,  68                            :    31  2s2.2p4.(3P).4d    4F    ,L9088
2s2.2p4.(3P).4d,2F,5/2,6,,302890.5369,,0.003,  38                            :    25  2s2.2p4.(3P).5s    4P    ,L9088
2s2.2p4.(3P).4d,2D,5/2,6,,302307.7230,,0.003,  54                            :    23  2s2.2p4.(3P).4d    2F    ,L9088
2s2.2p4.(3P).4d,2D,3/2,4,,302425.8139,,0.003,  44                            :    31  2s2.2p4.(3P).4d    4P    ,L9088
2s2.2p4.(3P).4d,4P,1/2,2,,302475.5806,,0.003,  81                            :    13  2s2.2p4.(3P).4d    2P    ,L9088
2s2.2p4.(3P).4d,4P,3/2,4,,302816.9602,,0.003,  52                            :    24  2s2.2p4.(3P).4d    2D    ,L9088
2s2.2p4.(3P).4d,4P,5/2,6,,303071.8002,,0.003,  47                            :    30  2s2.2p4.(3P).4d    2F    ,L9088
2s2.2p4.(3P<2>).4f,2[4]*,9/2,10,,302829.0453,,0.004,  99                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[4]*,7/2,8,,302831.176,,0.003,  96                                                              ,L9088
2s2.2p4.(3P).4d,2P,1/2,2,,302831.7640,,0.003,  78                            :    12  2s2.2p4.(3P).4d    4D    ,L9088
2s2.2p4.(3P).4d,2P,3/2,4,,303237.8943,,0.003,  57                            :    24  2s2.2p4.(3P).4d    2D    ,L9088
2s2.2p4.(3P<2>).4f,2[3]*,7/2,8,,302843.509,,0.004,  96                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[3]*,5/2,6,,302844.085,,0.003,  99                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[2]*,3/2,4,,302902.557,,0.004,  98                                                              ,L9088
2s2.2p4.(3P<2>).4f,2[2]*,5/2,6,,302903.635,,0.004,  98                                                              ,L9088
