Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
2s2.2p5.(2P*<3/2>).8d,2[7/2]*,4,9,,172205.113,,0.002,L8826
2s2.2p5.(2P*<3/2>).8d,2[7/2]*,3,7,,172205.272,,0.002,L8826
2s2.2p5.(2P*<3/2>).8d,2[3/2]*,2,5,,172206.770,,0.011,L8826
2s2.2p5.(2P*<3/2>).8d,2[3/2]*,1,3,,172209.15,,0.05,L8826
2s2.2p5.(2P*<3/2>).8d,2[5/2]*,2,5,,172211.107,,0.010,L8826
2s2.2p5.(2P*<3/2>).8d,2[5/2]*,3,7,,172211.266,,0.006,L8826
2s2.2p5.(2P*<3/2>).8f,2[3/2],2,5,,172212.66,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[3/2],1,3,,172212.76,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[9/2],5,11,,172213.57,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[9/2],4,9,,172213.58,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[7/2],4,9,,172215.58,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[7/2],3,7,,172215.80,,0.11,L8826
2s2.2p5.(2P*<1/2>).8s,2[1/2]*,0,1,,172254.295,,0.009,L8826
2s2.2p5.(2P*<1/2>).8s,2[1/2]*,1,3,,172261.741,,0.004,L8826
2s2.2p5.(2P*<3/2>).9p,2[5/2],3,7,,172282.2,,0.3,L8826
2s2.2p5.(2P*<3/2>).9p,2[5/2],2,5,,172287.066,,0.015,L8826
2s2.2p5.(2P*<3/2>).9p,2[3/2],1,3,,172291.2,,0.2,L8826
2s2.2p5.(2P*<3/2>).9p,2[3/2],2,5,,172292.0,,0.3,L8826
2s2.2p5.(2P*<3/2>).9p,2[1/2],0,1,,172327.358,,0.010,L8826
2s2.2p5.(2P*<1/2>).7d,2[3/2]*,2,5,,172457.823,,0.008,L8826
2s2.2p5.(2P*<1/2>).7d,2[3/2]*,1,3,,172460.966,,0.011,L8826
2s2.2p5.(2P*<1/2>).7d,2[5/2]*,2,5,,172458.427,,0.007,L8826
2s2.2p5.(2P*<1/2>).7d,2[5/2]*,3,7,,172458.613,,0.003,L8826
2s2.2p5.(2P*<1/2>).7f,2[7/2],3,7,,172469.448,,0.004,L8826
2s2.2p5.(2P*<1/2>).7f,2[7/2],4,9,,172469.450,,0.004,L8826
2s2.2p5.(2P*<1/2>).7f,2[5/2],3,7,,172469.452,,0.003,L8826
2s2.2p5.(2P*<1/2>).7f,2[5/2],2,5,,172469.455,,0.006,L8826
2s2.2p5.(2P*<1/2>).7g,2[9/2]*,4,9,,172470.364,,0.003,L8826
2s2.2p5.(2P*<1/2>).7g,2[9/2]*,5,11,,172470.373,,0.003,L8826
2s2.2p5.(2P*<1/2>).7g,2[7/2]*,4,9,,172470.404,,0.003,L8826
2s2.2p5.(2P*<1/2>).7g,2[7/2]*,3,7,,172470.416,,0.003,L8826
2s2.2p5.(2P*<3/2>).10s,2[3/2]*,2,5,,172475.321,,0.005,L8826
2s2.2p5.(2P*<3/2>).10s,2[3/2]*,1,3,,172481.8376,,0.0019,L8826
2s2.2p5.(2P*<1/2>).8p,2[1/2],1,3,,172562.8,,0.3,L8826
2s2.2p5.(2P*<1/2>).8p,2[1/2],0,1,,172599.8,,0.3,L8826
2s2.2p5.(2P*<3/2>).9d,2[1/2]*,0,1,,172564.88,,0.12,L8826
