Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""""","=""*""","=""4""","=""""","=""22163.13360""","=""""","=""0.00007""","=""0.995""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""2""","=""""","=""22248.94952""","=""""","=""0.00003""","=""1.145""","=""                                                        ""","=""L18702,L17451"""
"=""""","=""*""","=""1""","=""""","=""22396.82500""","=""""","=""0.00004""","=""1.525""","=""                                                        ""","=""L18702,L17451"""
"=""5f.6d2.7s""","=""3I*""","=""5""","=""""","=""22399.39666""","=""""","=""0.00010""","=""0.930""","=""                                                        ""","=""L18702,L3552"""
"=""5f.6d2.7s""","=""3I*""","=""6""","=""""","=""23306.82782""","=""""","=""0.00011""","=""""","=""                                                        ""","=""L18702,L1056"""
"=""6d3.(2P).7s""","=""""","=""1""","=""""","=""22401.20793""","=""""","=""0.0003""","=""1.185""","=""  47  6d3.(2P).7s 1P         :    18  6d3.(4P).7s  3P   ""","=""L18702,u39"""
"=""""","=""*""","=""0""","=""""","=""22465.56965""","=""""","=""0.00010""","=""0.0""","=""                                                        ""","=""L18702,u39"""
"=""""","=""*""","=""3""","=""""","=""22669.88918""","=""""","=""0.00004""","=""1.210""","=""                                                        ""","=""L18702,L17451"""
"=""""","=""*""","=""3""","=""""","=""22855.29928""","=""""","=""0.00004""","=""1.130""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""1""","=""""","=""22877.51748""","=""""","=""0.00006""","=""0.615""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""5""","=""""","=""22877.58322""","=""""","=""0.00005""","=""1.185""","=""                                                        ""","=""L18702,L3552"""
"=""5f.6d.7s.7p""","=""5G""","=""2""","=""""","=""22988.52291""","=""""","=""0.00006""","=""0.625""","=""                                                        ""","=""L18702,L1056"""
"=""5f.6d.7s.7p""","=""5G""","=""3""","=""""","=""23201.98997""","=""""","=""0.00005""","=""0.950""","=""                                                        ""","=""L18702,L1056"""
"=""5f.6d.7s.7p""","=""5G""","=""4""","=""""","=""24032.22651""","=""""","=""0.00005""","=""1.095""","=""                                                        ""","=""L18702,L1056"""
"=""5f.6d.7s.7p""","=""5G""","=""5""","=""""","=""27191.36326""","=""""","=""0.00006""","=""1.120""","=""                                                        ""","=""L18702,L1056"""
"=""""","=""*""","=""5""","=""""","=""23015.15141""","=""""","=""0.00006""","=""1.070""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""1""","=""""","=""23049.45870""","=""""","=""0.00004""","=""1.365""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""2""","=""""","=""23093.98148""","=""""","=""0.00003""","=""1.325""","=""                                                        ""","=""L18702,L17451"""
"=""""","=""*""","=""0""","=""""","=""23410.19884""","=""""","=""0.00006""","=""0.0""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""1""","=""""","=""23481.37399""","=""""","=""0.00006""","=""0.845""","=""                                                        ""","=""L18702,L17451"""
"=""""","=""*""","=""3""","=""""","=""23521.04909""","=""""","=""0.00005""","=""1.075""","=""                                                        ""","=""L18702,L17451"""
"=""""","=""*""","=""2""","=""""","=""23603.52066""","=""""","=""0.00005""","=""1.375""","=""                                                        ""","=""L18702,L17451"""
"=""""","=""*""","=""5""","=""""","=""23609.16775""","=""""","=""0.00011""","=""0.980""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""0""","=""""","=""23630.6763""","=""""","=""0.0005""","=""0.0""","=""                                                        ""","=""L18702,u39"""
"=""""","=""*""","=""4""","=""""","=""23655.13881""","=""""","=""0.00007""","=""1.160""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""1""","=""""","=""23741.07467""","=""""","=""0.00006""","=""0.770""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""2""","=""""","=""23752.68579""","=""""","=""0.00009""","=""1.105""","=""                                                        ""","=""L18702,L17451"""
"=""5f.6d.7s.7p""","=""5F""","=""1""","=""""","=""23769.87615""","=""""","=""0.00007""","=""0.455""","=""                                                        ""","=""L18702,L1056"""
"=""5f.6d.7s.7p""","=""5F""","=""2""","=""""","=""23990.41162""","=""""","=""0.00006""","=""0.870""","=""                                                        ""","=""L18702,L1056"""
"=""5f.6d.7s.7p""","=""5F""","=""3""","=""""","=""24664.72970""","=""""","=""0.00005""","=""0.890""","=""                                                        ""","=""L18702,u39"""
"=""""","=""*""","=""4""","=""""","=""23916.89747""","=""""","=""0.00005""","=""1.245""","=""                                                        ""","=""L18702,L3552"""
"=""""","=""*""","=""2""","=""""","=""24182.42887""","=""""","=""0.00009""","=""1.245""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""4""","=""""","=""24202.56462""","=""""","=""0.00004""","=""1.380""","=""                                                        ""","=""L18702,L17451"""
