Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d5.(2G).5p,x 3H*,4,9,,48622.076,,,0.926,
4d5.(2G).5p,x 3H*,5,11,,48818.952,,,0.972,
4d5.(2G).5p,x 3H*,6,13,,49061.760,,,1.108,
4d5.(6S).7s,f 5S,2,5,,48742.274,,,,
,25*,1,3,,48775.269,,,,
,25.1*,7,15,,48791.344,,,,
4d4.5s.(4G).5p,x 5G*,2,5,,48875.813,,,,
4d4.5s.(4G).5p,x 5G*,3,7,,48997.228,,,0.60,
4d4.5s.(4G).5p,x 5G*,4,9,,49146.754,,,1.164,
4d4.5s.(4G).5p,x 5G*,5,11,,49302.075,,,1.25,
4d4.5s.(4G).5p,x 5G*,6,13,,49408.530,,,1.150,
4d5.(2I).5p,z 1H*,5,11,,48922.188,,,0.970,
,26*,1,3,,48955.732,,,0.77,
,26.1*,2,5,,49078.669,,,,
,27*,1,3,,49169.268,,,,
4d4.5s.(4G).5p,t 5F*,1,3,,49189.701,,,0.31,
4d4.5s.(4G).5p,t 5F*,2,5,,49346.196,,,1.20,
4d4.5s.(4G).5p,t 5F*,3,7,,49468.023,,,1.216,
4d4.5s.(4G).5p,t 5F*,4,9,,49590.828,,,1.245,
4d4.5s.(4G).5p,t 5F*,5,11,,49650.658,,,1.352,
,28*,3,7,,49259.406,,,1.348,
4d4.5s.(4H).5p,y 3I*,5,11,,49350.588,,,0.914,
4d4.5s.(4H).5p,y 3I*,6,13,,49400.368,,,1.108,
4d4.5s.(4H).5p,y 3I*,7,15,,49565.135,,,1.122,
,29*,4,9,,49369.475,,,1.475,
,29.1*,1,3,,49390.979,,,,
4d4.5s.(4P).5p,w 5P*,1,3,,49484.068,,,2.378,
4d4.5s.(4P).5p,w 5P*,2,5,,49711.894,,,2.16,
4d4.5s.(4P).5p,w 5P*,3,7,,51209.662,,,1.66,
,30*,5,11,,49595.606,,,1.008,
4d4.5s.(6D).6s,f 7D,1,3,,49608.111,,,2.990,
4d4.5s.(6D).6s,f 7D,2,5,,49852.184,,,,
4d4.5s.(6D).6s,f 7D,3,7,,50155.527,,,,
4d4.5s.(6D).6s,f 7D,4,9,,50790.261,,,1.613,
4d4.5s.(6D).6s,f 7D,5,11,,51275.691,,,1.611,
4d5.(4F).5p,u 3F*,3,7,,49789.746,,,1.061,
4d5.(4F).5p,u 3F*,2,5,,49801.329,,,,
4d5.(4F).5p,u 3F*,4,9,,50134.158,,,1.210,
,30.1*,7,15,,49813.338,,,,
4d4.5s.(4G).5p,w 3G*,4,9,,49863.424,,,1.054,
4d4.5s.(4G).5p,w 3G*,5,11,,50631.392,,,1.123,
,31*,2,5,,49880.46,?,,,
4d4.5s.(4D).5p,v 5P*,3,7,,49999.575,,,1.72,
4d4.5s.(4D).5p,v 5P*,1,3,,50113.099,,,2.52,
4d4.5s.(4D).5p,v 5P*,2,5,,51049.60,?,,1.61,
4d5.(2I).5p,z 3K*,7,15,,50276.822,,,1.046,
4d5.(2I).5p,z 3K*,6,13,,50595.883,,,0.968,
4d5.(6S).6d,g 7D,4,9,,50323.387,,,,
4d5.(6S).6d,g 7D,5,11,,50364.243,,,,
4d5.(6S).6d,g 7D,3,7,,50371.74,?,,,
,32*,2,5,,50482.361,,,1.07,
,33*,4,9,,50625.116,,,1.23,
,34*,3,7,,50669.967,,,,
,35*,2,5,,50769.72,?,,,
,36*,4,9,,50770.12,?,,,
,37*,5,11,,50801.556,,,1.083,
,38*,2,5,,50925.502,,,,
4d4.5s.(4H).5p,w 3H*,4,9,,50953.746,,,0.937,
4d4.5s.(4H).5p,w 3H*,5,11,,51753.384,,,1.059,
,39*,1,3,,51070.34,?,,,
,39.1*,6,13,,51117.208,,,,
,40*,1,3,,51165.07,?,,,
,41*,4,9,,51234.093,,,1.26,
,41.1*,3,7,,51324.459,,,,
,42*,2,5,,51404.708,,,1.675,
,42.1*,3,7,,51568.561,,,,
,43*,4,9,,51585.313,,,1.040,
,43.1*,5,11,,51622.570,,,,
,44*,2,5,,51675.202,,,1.146,
,45*,3,7,,51808.875,,,0.88,
,46*,6,13,,51856.215,,,,
,47*,4,9,,51858.766,,,1.258,
,48*,1,3,,51875.934,,,0.87,
,49*,3,7,,51884.451,,,1.13,
,50*,2,5,,51891.314,,,0.56,
,50.1*,3,7,,52043.378,,,,
,51*,4,9,,52085.241,,,1.266,
,52*,2,5,,52087.998,,,,
,53*,3,7,,52135.498,,,0.91,
,54*,3,7,,52181.918,,,1.34,
,54.1*,2,5,,52288.942,,,,
,55*,4,9,,52404.761,,,1.16,
,56*,2,5,,52441.17,?,,,
,57*,5,11,,52441.33,?,,,
,58*,2,5,,52443.510,,,1.12,
,59*,5,11,,52465.385,,,1.088,
