Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d9.6s2.(2D<3/2>).7p,2[3/2]*,1,3,,120709,,7,,
5d9.6s2.(2D<3/2>).8p,2[1/2]*,1,3,,126973,,11,,
5d9.6s2.(2D<3/2>).8p,2[3/2]*,1,3,,127252.4,,1.5,,
5d9.6s2.(2D<3/2>).5f,2[3/2]*,1,3,,127773,,8,,
5d9.6s2.(2D<3/2>).9p,2[1/2]*,1,3,,129926,,8,,
5d9.6s2.(2D<3/2>).9p,2[3/2]*,1,3,,130047.3,,1.5,,
5d9.6s2.(2D<3/2>).6f,2[3/2]*,1,3,,130288.6,,1.5,,
5d9.6s2.(2D<3/2>).10p,2[1/2]*,1,3,,131453.7,,1.6,,
5d9.6s2.(2D<3/2>).10p,2[3/2]*,1,3,,131526.7,,1.6,,
5d9.6s2.(2D<3/2>).7f,2[3/2]*,1,3,,131659.2,,1.6,,
5d9.6s2.(2D<3/2>).11p,2[1/2]*,1,3,,132358.6,,1.6,,
5d9.6s2.(2D<3/2>).11p,2[3/2]*,1,3,,132386,,4,,
5d9.6s2.(2D<3/2>).8f,2[3/2]*,1,3,,132487.5,,1.6,,
5d9.6s2.(2D<3/2>).12p,2[1/2]*,1,3,,132930.6,,1.6,,
5d9.6s2.(2D<3/2>).12p,2[3/2]*,1,3,,132966,,4,,
5d9.6s2.(2D<3/2>).9f,2[3/2]*,1,3,,133016.2,,1.6,,
5d9.6s2.(2D<3/2>).13p,2[1/2]*,1,3,,133326.2,,1.6,,
5d9.6s2.(2D<3/2>).13p,2[3/2]*,1,3,,133340,,4,,
5d9.6s2.(2D<3/2>).10f,2[3/2]*,1,3,,133366.4,,1.6,,
5d9.6s2.(2D<3/2>).14p,2[1/2]*,1,3,,133597.0,,1.6,,
5d9.6s2.(2D<3/2>).11f,2[3/2]*,1,3,,133629.5,,1.6,,
5d9.6s2.(2D<3/2>).15p,2[1/2]*,1,3,,133812.4,,1.6,,
5d9.6s2.(2D<3/2>).12f,2[3/2]*,1,3,,133824.9,,1.6,,
5d9.6s2.(2D<3/2>).13f,2[3/2]*,1,3,,133951,,4,,
5d9.6s2.(2D<3/2>).16p,2[1/2]*,1,3,,133952.6,,1.6,,
5d9.6s2.(2D<3/2>).17p,2[1/2]*,1,3,,134078.1,,1.6,,
5d9.6s2.(2D<3/2>).18p,2[1/2]*,1,3,,134172.7,,1.6,,
5d9.6s2.(2D<3/2>).19p,2[1/2]*,1,3,,134262.4,,1.6,,
5d9.6s2.(2D<3/2>).20p,2[1/2]*,1,3,,134305,,5,,
Hg II (5d9.6s2 2D<3/2>),Limit,---,,,134746.,,1.,,
