Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5s2.5p4.(3P<2>).8f,2[2]*,3/2,4,,82567.30,,0.04,,L13998
5s2.5p4.(3P<2>).8f,2[2]*,5/2,6,,82568.63,,0.04,,L13998
5s2.5p4.(3P<2>).8f,2[1]*,3/2,4,,82571.39,,0.04,,L13998
5s2.5p4.(3P<2>).12s,2[2],5/2,6,,82584.39,,0.04,,L13998
5s2.5p4.(3P<2>).12s,2[2],3/2,4,,82608.72,,0.04,,L13998
5s2.5p4.nd,C,"5/2, 3/2 or 1/2",6,,82641.01,,0.04,,L13998
5s2.5p4.(3P<2>).12p,2[3]*,7/2,8,,82772.25,?,0.20,,L13998
5s2.5p4.(3P<2>).11d,2[4],9/2,10,,82804.60,,0.04,,L13998
5s2.5p4.(3P<2>).11d,2[4],7/2,8,,82812.26,,0.04,,L13998
5s2.5p4.(3P<2>).9f,2[4]*,9/2,10,,82925.02,,0.04,,L13998
5s2.5p4.(3P<2>).9f,2[4]*,7/2,8,,82925.57,,0.04,,L13998
5s2.5p4.(3P<2>).9f,2[3]*,5/2,6,,82926.38,,0.04,,L13998
5s2.5p4.(3P<2>).9f,2[2]*,3/2,4,,82930.24,,0.04,,L13998
5s2.5p4.(3P<2>).9f,2[5]*,11/2,12,,82930.33,,0.04,,L13998
5s2.5p4.(3P<2>).9f,2[5]*,9/2,10,,82930.50,,0.04,,L13998
5s2.5p4.(3P<2>).9f,2[1]*,3/2,4,,82934.53,,0.04,,L13998
5s2.5p4.(3P<2>).12d,2[4],9/2,10,,83099.68,?,0.20,,L13998
5s2.5p4.(3P<2>).12d,2[4],7/2,8,,83101.36,,0.04,,L13998
5s2.5p4.(3P<2>).10f,2[4]*,9/2,10,,83186.40,,0.04,,L13998
5s2.5p4.(3P<2>).10f,2[4]*,7/2,8,,83186.74,,0.04,,L13998
5s2.5p4.(3P<2>).10f,2[5]*,11/2,12,,83190.33,,0.04,,L13998
5s2.5p4.(3P<2>).10f,2[5]*,9/2,10,,83190.40,,0.04,,L13998
5s2.5p4.(3P<2>).13d,2[4],9/2,10,,83314.96,,0.04,,L13998
5s2.5p4.(3P<2>).11f,2[4]*,9/2,10,,83379.52,,0.04,,L13998
5s2.5p4.(3P<2>).11f,2[5]*,11/2,12,,83382.45,,0.04,,L13998
5s2.5p4.(3P<2>).11f,2[5]*,9/2,10,,83382.58,,0.04,,L13998
5s2.5p4.(3P<2>).12f,2[5]*,11/2,12,,83528.48,,0.04,,L13998
I II (5s2.5p4 3P<2>),Limit,---,,,84294.9,,0.2,,"L13998,L22518"
5s2.5p4.(3P<0>).5g,2[4],"9/2,7/2",18,[,86342.16,],0.20,,L821
5s2.5p4.(3P<1>).5g,2[3],"7/2,5/2",14,[,86976.05,],0.20,,L821
5s2.5p4.(3P<1>).5g,2[5],"11/2,9/2",22,[,86978.60,],0.20,,L821
5s2.5p4.(3P<1>).5g,2[4],"9/2,7/2",18,[,86988.55,],0.20,,L821
I II (5s2.5p4 3P<0>),Limit,---,,,90742.8,,0.2,,"L13998,L22518"
I II (5s2.5p4 3P<1>),Limit,---,,,91381.9,,0.2,,"L13998,L22518"
I II (5s2.5p4 1D<2>),Limit,---,,,98022.1,,0.2,,"L13998,L22518"
I II (5s2.5p4 1S<0>),Limit,---,,,113796.2,,0.2,,"L13998,L22518"
