Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f10.(5I).5d2.(3P) (7K).6s,8K,21/2,22,,25545.07,,,,  86             :     6                   (5I)(1D). (5L) 6L    ,L3974
4f10.(5I).5d2.(3F) (3M).6s,,19/2,20,,25548.26,,,,  22  2M         :    11                   (5I)(3F). (5L) 6L    ,L3974
4f11.(4I*).5d.6s.(3D),*,15/2,16,,25591.43,,,,  37  4L*        :    37                   (4I*)(3D) 6L*        ,L3974
4f11.(4I*).5d.6s.(3D),*,11/2,12,,25616.46,,,,  44  4G*        :    17                   (4I*)(3D) 6G*        ,L3974
4f11.(4I*).5d.6s.(3D),6L*,17/2,18,,25660.40,,,,  58             :    21                   (4I*)(3D) 2L*        ,L3974
4f11.(4I*).5d.6s.(3D),*,9/2,10,,25805.04,,,,  34  2G*        :    33                   (4I*)(3D) 6G*        ,L3974
4f10.(5I<4>).5d<5/2>.6s2,"(4,5/2)",13/2,14,,25930.66,,,,             or  :    75                   (5I) 4L              ,L3974
4f10.(5I).5d2.(3F) (7H).6s,,15/2,16,,25967.69,,,,  35  6H         :    11                   (5I)(3F). (7I) 6I    ,L3974
4f10.(5I).5d.6s.6p,*,21/2,22,,25980.35,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p,*,15/2,16,,26023.52,,,,                                                                ,L3974
4f10.5d.6s2,,9/2,10,,26039.99,,,,  88             :    12  4f11.6s.6p                            ,L3974
4f10.(5I).5d.6s.6p,*,13/2,14,,26127.22,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p,*,17/2,18,,26143.57,,,,                                                                ,L3974
4f11.(4I*).5d.6s.(3D),*,15/2,16,,26198.39,,,,  37  6K*        :    28                   (4I*)(3D) 4I*        ,L3974
4f11.(4I*).5d.6s.(3D),*,13/2,14,,26225.76,,,,  24  6K*        :    17                   (4I*)(3D) 4H*        ,L3974
4f11.(4I*).5d.6s.(3D),*,13/2,14,,26288.10,,,,  26  4H*        :    16                   (4I*)(3D) 6H*        ,L3974
4f11.(4I*).5d.6s.(3D),*,11/2,12,,26443.11,,,,  32  2H*        :    30                   (4I*)(3D) 6H*        ,L3974
4f10.(5I<7>).6s2.6p<3/2>,"(7,3/2)*",15/2,16,,26456.72,,,,             or  :    43                   (5I) 6I*             ,L3974
4f10.(5I<7>).6s2.6p<3/2>,"(7,3/2)*",17/2,18,,26637.82,,,,             or  :    60                   (5I) 6K*             ,L3974
4f10.(5I<7>).6s2.6p<3/2>,"(7,3/2)*",11/2,12,,26664.67,,,,             or  :    43                   (5I) 6H*             ,L3974
4f10.(5I<7>).6s2.6p<3/2>,"(7,3/2)*",13/2,14,,26673.72,,,,             or  :    37                   (5I) 6H*             ,L3974
4f11.(4I*).5d.6s.(3D),*,17/2,18,,26480.47,,,,  39  6K*        :    19                   (4I*)(3D) 4K*        ,L3974
4f10.(5I).5d.6s.6p,*,11/2,12,,26529.83,,,,                                                                ,L3974
4f10.(5I).5d2.(3F) (7I).6s,,17/2,18,,26655.52,,,,  43  6I         :    21                   (5I)(3F) (7K) 6K     ,L3974
4f10.(5I).5d.6s.6p,*,19/2,20,,26770.17,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p,*,15/2,16,,26811.32,,,,                                                                ,L3974
4f11.(4I*).5d.6s.(3D),*,15/2,16,,26922.41,,,,  42  6I*        :    14                   (4I*)(3D) 2K*        ,L3974
4f11.(4I*<11/2>).6s.6p.(3P*<2>),"(11/2,2)",15/2,16,,26957.70,,,,                                                                ,L3974
4f11.(4I*).5d.6s.(3D),*,13/2,14,,26977.37,,,,  41  6I*        :    14                   (4I*)(3D) 4K*        ,L3974
4f11.(4I*).5d.6s.(3D),*,11/2,12,,27049.80,,,,  25  4I*        :    16                   (4I*)(3D) 6I*        ,L3974
4f10.(5I).5d.6s.6p?,*,21/2,22,,27358.81,,,,                                                                ,L3974
4f10.(5I<6>).6s2.6p<1/2>,"(6,1/2)*",13/2,14,,27423.79,,,,             or  :    40                   (5I) 6K*             ,L3974
4f10.(5I<6>).6s2.6p<1/2>,"(6,1/2)*",11/2,12,,27643.13,,,,             or  :    73                   (5I) 4H*             ,L3974
4f10.(5I).5d.6s.6p?,*,19/2,20,,27470.27,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,15/2,16,,27649.51,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,19/2,20,,27670.98,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,13/2,14,,27697.56,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,13/2,14,,27724.36,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,17/2,18,,27923.18,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,17/2,18,,28244.29,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,17/2,18,,28315.79,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,19/2,20,,28393.24,,,,                                                                ,L3974
4f10.(5I).5d.6s.6p?,*,21/2,22,,28481.24,,,,                                                                ,L3974
,*,15/2,16,,28561.18,,,,                                                                ,L3974
4f11.(4I*).5d.6s.(1D),4L*,17/2,18,,28861.41,,,,  91             :     6                   (4I*)(1D) 4K*        ,L3974
4f10.(5I).5d.6s.6p?,*,21/2,22,,28887.78,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.6p.(1P*<1>),"(13/2,1)",11/2,12,,29069.78,,,,                                                                ,L3974
