Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d4.(3F2).4p,s 4D*,1/2,2,,39877.786,,0.004,0.01,  56         :    10  3d3.(4P).4s.4p.(3P*)  4D*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,s 4D*,3/2,4,,39935.176,,0.005,1.10,  51         :    10  3d4.(3P2).4p          4D*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,s 4D*,5/2,6,,39999.966,,0.004,1.33,  29         :     6  3d3.(2P).4s.4p.(3P*)  2D*  ,"L15916,L20010,L14162"
3d4.(3F2).4p,s 4D*,7/2,8,,40125.879,,0.002,1.38,  54         :    23  3d4.(3P2).4p          4D*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,v 2D*,3/2,4,,39884.540,,0.002,0.92,  29         :     8  3d4.(3F2).4p          2D*  ,"L15916,L20010,L14162"
3d4.(3P2).4p,v 2D*,5/2,6,,40119.218,o,0.004,1.14,   7         :    12  3d4.(3F2).4p          4D*  ,"L15916,L20010,L14162"
3d4.(3H).4p,u 4G*,5/2,6,,39962.150,,0.004,0.53,  44         :    15  3d4.(3G).4p           4G*  ,"L15916,L20010,L14162"
3d4.(3H).4p,u 4G*,7/2,8,,40001.190,,0.0010,0.99,  52         :    18  3d4.(3G).4p           4G*  ,"L15916,L20010,L14162"
3d4.(3H).4p,u 4G*,9/2,10,,40038.970,,0.003,1.19,  56         :    20  3d4.(3G).4p           4G*  ,"L15916,L20010,L14162"
3d4.(3H).4p,u 4G*,11/2,12,,40063.874,,0.002,1.23,  53         :    23  3d4.(3G).4p           4G*  ,"L15916,L20010,L14162"
3d4.(3G).4p,w 4H*,7/2,8,,40314.882,,0.002,0.65,  69         :    23  3d4.(3H).4p           4H*  ,"L15916,L20010,L14162"
3d4.(3G).4p,w 4H*,9/2,10,,40378.812,,0.002,0.92,  71         :    21  3d4.(3H).4p           4H*  ,"L15916,L20010,L14162"
3d4.(3G).4p,w 4H*,11/2,12,,40452.466,,0.002,1.08,  71         :    20  3d4.(3H).4p           4H*  ,"L15916,L20010,L14162"
3d4.(3G).4p,w 4H*,13/2,14,,40535.729,,0.003,1.22,  72         :    20  3d4.(3H).4p           4H*  ,"L15916,L20010,L14162"
3d4.(3G).4p,2F*,5/2,6,,40325.790,,0.010,1.12,  42         :     8  3d3.(2D2).4s.4p.(1P*) 2F*  ,"L15916,L20010,L14162"
3d4.(3G).4p,2F*,7/2,8,,40587.356,,0.004,1.106(10),  67         :    11  3d3.(2D2).4s.4p.(1P*) 2F*  ,"L15916,L20010,L14162,L21158"
3d3.(2D2).4s.4p.(3P*),2D*,3/2,4,,40388.941,,0.006,,  21         :    29  3d3.(2P).4s.4p.(3P*)  2D*  ,"L15916,L20010"
3d3.(2D2).4s.4p.(3P*),2D*,5/2,6,,40553.222,o,0.003,,  12         :    18  3d4.(3G).4p           2F*  ,"L15916,L20010"
3d3.(2P).4s.4p.(3P*),w 2P*,1/2,2,,40504.099,,0.006,,  56         :    11  3d3.(2D2).4s.4p.(3P*) 2P*  ,"L15916,L20010"
3d3.(2P).4s.4p.(3P*),w 2P*,3/2,4,,40693.787,,0.006,,  53         :    10  3d3.(2D2).4s.4p.(3P*) 2P*  ,"L15916,L20010"
3d4.(3G).4p,t 4F*,3/2,4,,41389.644,,0.003,0.42,  48         :    15  3d3.4s.(5F).5p        4F*  ,"L15916,L20010,L14162"
