Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d2.(3P).5p,v 2D*,5/2,,40672.369,,0.002,1.25,L7610
4d.5s.(3D).5d,2D,3/2,,41422.889,,0.002,,L7610
4d.5s.(3D).5d,2D,5/2,,41503.538,,0.003,,L7610
4d.5s.(1D).5d,2D,3/2,,41660.521,,0.003,,L7610
4d.5s.(1D).5d,2D,5/2,,41669.657,,0.002,,L7610
,1.4,3/2,,41853.349,,0.003,,L7610
5p2.(1D).5s,2D,3/2,,42048.969,,0.002,,L7610
5p2.(1D).5s,2D,5/2,,42098.717,,0.002,,L7610
4d2.(3F).6s,4F,3/2,,42106.775,,0.005,,L7610
4d2.(3F).6s,4F,5/2,,42253.630,,0.007,,L7610
4d2.(3F).6s,4F,7/2,,42487.974,,0.007,,L7610
4d2.(3F).6s,4F,9/2,,42807.326,,0.008,,L7610
,1.5*,,,42113.271,,0.004,,L7610
4d.5s.(1D).5d,2P,1/2,,42655.628,,0.003,,L7610
4d.5s.(1D).5d,2P,3/2,,42685.870,,0.002,,L7610
4d2.(1G).5p,v 2F*,5/2,,42857.855,,0.009,,L7610
4d2.(1G).5p,v 2F*,7/2,,42995.085,,0.002,,L7610
,,5/2,,43070.0,,,,L3465
5p2.(3P).4d,4F,3/2,,43095.780,,0.006,,L7610
5p2.(3P).4d,4F,5/2,,43337.601,,0.003,,L7610
5p2.(3P).4d,4F,7/2,,43704.511,,0.003,1.26,L7610
5p2.(3P).4d,4F,9/2,,44190.205,,0.005,1.33,L7610
5s2.7s,g 2S,1/2,,43643.601,,0.003,,L7610
4d.5s.(1D).5d,2F,5/2,,43879.744,,0.012,,L7610
4d.5s.(1D).5d,2F,7/2,,44186.256,,0.003,,L7610
,g 4F,5/2,,44052.8,?,,,L3465
,g 4F,7/2,,44366.1,,,,L3465
,g 4F,9/2,,44759.6,,,,L3465
4d.5s.(3D).7s,g 4D,5/2,,44654.8,,,,L3465
4d.5s.(3D).7s,g 4D,7/2,,44922,,,,L3465
5p2.(3P).4d,h 4D,1/2,,44660.036,,0.005,,L7610
5p2.(3P).4d,h 4D,3/2,,44748.195,,0.002,,L7610
5p2.(3P).4d,h 4D,5/2,,45008.460,,0.003,,L7610
5p2.(3P).4d,h 4D,7/2,,45203.695,,0.002,,L7610
,h 4F,3/2,,44742.7,?,,0.73,L3465
,h 4F,5/2,,45069.3,,,,L3465
,h 4F,7/2,,45388.5,,,,L3465
,h 4F,9/2,,45796.5,,,1.37,L3465
,2,"1/2,3/2",,44984.1,,,,L3465
,3,7/2,,45663.408,,0.002,,L7610
5p2.(3P).4d?,f 2P,1/2,,45947.505,,0.004,,L7610
5p2.(3P).4d?,f 2P,3/2,,45994.176,,0.004,,L7610
Y II (5s2 1S<0>),Limit,---,,50145.6,,0.8,,"L8844,L2111,L9735"
4d2.(3P).6s,g 4P,5/2,,50254.0,,,,L3465
