obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""103.369""","=""0.003""","=""103.36766""","=""0.00003""","=""3100""","=""4.5e+07""",C,"=""43350.5817""","=""140092.64""","=""5s.5p""","=""3P*""","=""1""","=""5s.8d""","=""3D""","=""2""",,"=""T6137""","=""L1143""",
"=""""","=""""","=""103.37878""","=""0.00003""","=""""","=""2.5e+07""",C,"=""43350.5817""","=""140082.23""","=""5s.5p""","=""3P*""","=""1""","=""5s.8d""","=""3D""","=""1""",,"=""T6137""","=""""",
"=""104.389""","=""0.003""","=""104.398874""","=""0.000023""","=""3300""","=""1.8e+07""",C,"=""43350.5817""","=""139137.055""","=""5s.5p""","=""3P*""","=""1""","=""5s.9s""","=""3S""","=""1""",,"=""T6137""","=""L1143""",
"=""106.068""","=""0.003""","=""106.06727""","=""0.00006""","=""3700""","=""5.5e+07""",C,"=""45829.256""","=""140109.05""","=""5s.5p""","=""3P*""","=""2""","=""5s.8d""","=""3D""","=""3""",,"=""T6137""","=""L1143""",
"=""106.092""","=""0.003""","=""106.08573""","=""0.00003""","=""1700""","=""1.2e+07""",C,"=""45829.256""","=""140092.64""","=""5s.5p""","=""3P*""","=""2""","=""5s.8d""","=""3D""","=""2""",,"=""T6137""","=""L1143""",
"=""""","=""""","=""106.09745""","=""0.00003""","=""""","=""9.9e+05""",C,"=""45829.256""","=""140082.23""","=""5s.5p""","=""3P*""","=""2""","=""5s.8d""","=""3D""","=""1""",,"=""T6137""","=""""",
"=""106.275""","=""0.003""","=""106.27839""","=""0.00008""","=""990i""","=""""",,"=""45829.256""","=""139921.76""","=""5s.5p""","=""3P*""","=""2""","=""5s<1/2,F=4>.6g""","=""""","=""""",,"=""""","=""L1143""",
"=""107.193""","=""0.017""","=""107.172178""","=""0.000024""","=""3100""","=""2.9e+07""",C,"=""45829.256""","=""139137.055""","=""5s.5p""","=""3P*""","=""2""","=""5s.9s""","=""3S""","=""1""",,"=""T6137""","=""L17265""",
"=""108.166""","=""0.017""","=""108.166000""","=""0.000012""","=""5000""","=""4.6e+07""",C,"=""42275.995245348""","=""134726.488""","=""5s.5p""","=""3P*""","=""0""","=""5s.7d""","=""3D""","=""1""",,"=""T8104""","=""L17265""",
"=""""","=""""","=""108.636913""","=""0.000012""","=""""","=""1.6e+07""",E,"=""43350.5817""","=""135400.325""","=""5s.5p""","=""3P*""","=""1""","=""5s.7d""","=""1D""","=""2""",,"=""T7081""","=""""",
"=""109.418""","=""0.003""","=""109.417047""","=""0.000011""","=""6200""","=""6.0e+07""",C,"=""43350.5817""","=""134744.019""","=""5s.5p""","=""3P*""","=""1""","=""5s.7d""","=""3D""","=""2""",,"=""T8104""","=""L1143""",
"=""109.438""","=""0.003""","=""109.438039""","=""0.000012""","=""2500""","=""3.3e+07""",C,"=""43350.5817""","=""134726.488""","=""5s.5p""","=""3P*""","=""1""","=""5s.7d""","=""3D""","=""1""",,"=""T8104""","=""L1143""",
"=""110.138""","=""0.003""","=""110.136385""","=""0.000008""","=""2200""","=""1.3e+07""",C,"=""42275.995245348""","=""133072.511""","=""5s.5p""","=""3P*""","=""0""","=""5s.8s""","=""3S""","=""1""",,"=""T8104""","=""L1143""",
"=""111.455""","=""0.016""","=""111.455472""","=""0.000009""","=""1900""","=""3.8e+07""",C,"=""43350.5817""","=""133072.511""","=""5s.5p""","=""3P*""","=""1""","=""5s.8s""","=""3S""","=""1""",,"=""T8104""","=""L17265""",
"=""111.642""","=""0.003""","=""111.643191""","=""0.000011""","=""2600""","=""1.5e+05""",D+,"=""45829.256""","=""135400.325""","=""5s.5p""","=""3P*""","=""2""","=""5s.7d""","=""1D""","=""2""",,"=""T9131""","=""L1143""",
"=""112.439""","=""0.016""","=""112.432011""","=""0.000010""","=""4000""","=""7.3e+07""",C,"=""45829.256""","=""134771.897""","=""5s.5p""","=""3P*""","=""2""","=""5s.7d""","=""3D""","=""3""",,"=""T8104""","=""L17265""",
"=""112.470""","=""0.016""","=""112.467263""","=""0.000010""","=""2000""","=""1.8e+07""",C,"=""45829.256""","=""134744.019""","=""5s.5p""","=""3P*""","=""2""","=""5s.7d""","=""3D""","=""2""",,"=""T8104""","=""L17265""",
"=""""","=""""","=""112.489442""","=""0.000011""","=""""","=""2.0e+06""",C,"=""45829.256""","=""134726.488""","=""5s.5p""","=""3P*""","=""2""","=""5s.7d""","=""3D""","=""1""",,"=""T8104""","=""""",
"=""114.614""","=""0.016""","=""114.622042""","=""0.000008""","=""1100""","=""6.4e+07""",C,"=""45829.256""","=""133072.511""","=""5s.5p""","=""3P*""","=""2""","=""5s.8s""","=""3S""","=""1""",,"=""T8104""","=""L17265""",
"=""116.106""","=""0.003""","=""116.1043""","=""0.0003""","=""1200*""","=""""",,"=""63038.546""","=""149168.03""","=""5s.5p""","=""1P*""","=""1""","=""5s.14d""","=""3D""","=""2""",,"=""""","=""L1143""",
"=""116.106""","=""0.003""","=""116.10790""","=""0.00023""","=""1200*""","=""""",,"=""63038.546""","=""149165.33""","=""5s.5p""","=""1P*""","=""1""","=""5s.14d""","=""3D""","=""1""",,"=""""","=""L1143""",
