obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""362.91748""","=""0.00020""","=""362.91751""","=""0.00018""","=""9w""","=""""",,"=""77519.775""","=""105066.393""","=""5d7.6s.6p""","=""77519*""","=""9/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""11/2""",,"=""""","=""L10146""",
"=""363.2130""","=""0.0020""","=""363.21264""","=""0.00024""","=""4p""","=""""",,"=""54373.519""","=""81897.754""","=""5d7.6s2""","=""2D3""","=""5/2""","=""5d7.6s.6p""","=""81897*""","=""7/2""",,"=""""","=""L11529""",
"=""363.29823""","=""0.00020""","=""363.29816""","=""0.00016""","=""50h""","=""""",,"=""73999.874""","=""101517.630""","=""5d7.6s.6p""","=""73999*""","=""5/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""3/2""",,"=""""","=""L11529""",
"=""363.40023""","=""0.00020""","=""363.40028""","=""0.00017""","=""58""","=""""",,"=""78452.536""","=""105962.560""","=""5d7.6s.6p""","=""78452*""","=""3/2""","=""5d8.(3F).7s""","=""(3,1/2)""","=""5/2""",,"=""""","=""L11529""",
"=""364.1351""","=""0.0020""","=""364.1343""","=""0.0005""","=""4""","=""""",,"=""82692.28""","=""110146.852""","=""5d7.6s.6p""","=""82692*""","=""9/2""","=""5d8.(3P).6d""","=""(2,5/2)""","=""7/2""",,"=""""","=""L11529""",
"=""364.36290""","=""0.00020""","=""364.36281""","=""0.00016""","=""300""","=""""",,"=""73761.781""","=""101199.134""","=""5d7.6s.6p""","=""73761*""","=""7/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L11529""",
"=""364.4040""","=""0.0004""","=""364.4046""","=""0.0003""","=""27p""","=""""",,"=""82824.016""","=""110258.220""","=""5d8.(3F).6p""","=""82824*""","=""3/2""","=""5d8.(3F).7s""","=""(2,1/2)""","=""3/2""",,"=""""","=""L11529""",
"=""365.5949""","=""0.0020""","=""365.5923""","=""0.0003""","=""6""","=""""",,"=""78043.083""","=""105388.167""","=""5d7.6s.6p""","=""78043*""","=""7/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""9/2""",,"=""""","=""L11529""",
"=""365.6258""","=""0.0020""","=""365.62315""","=""0.00019""","=""3""","=""""",,"=""79092.198""","=""106434.974""","=""5d8.(3P).6p""","=""79092*""","=""3/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""5/2""",,"=""""","=""L11529""",
"=""365.7408""","=""0.0020""","=""365.7379""","=""0.0003""","=""9""","=""""",,"=""82824.016""","=""110158.213""","=""5d8.(3F).6p""","=""82824*""","=""3/2""","=""5d8.(3F).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L11529""",
